"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"male",,"muž",,,,"11:48 05/09/2022"
"average",,"průměrný",,,,"11:48 05/09/2022"
"black",,"černé vlasy",,,,"11:48 05/09/2022"
"shorthair",,"krátké",,,,"11:48 05/09/2022"
"greeneyes",,"zelené oči",,,,"11:48 05/09/2022"
"adult",,"dospělý",,,,"11:48 05/09/2022"
"he",,"on",,,,"11:48 05/09/2022"
"him",,"jemu",,,,"11:48 05/09/2022"
"his",,"jeho",,,,"11:48 05/09/2022"
"female",,"žena",,,,"11:48 05/09/2022"
"brown",,"hnědé vlasy",,,,"11:48 05/09/2022"
"longhair",,"dlouhé",,,,"11:48 05/09/2022"
"she",,"ona",,,,"11:48 05/09/2022"
"her",,"jí",,,,"11:48 05/09/2022"
"skinny",,"hubený",,,,"11:48 05/09/2022"
"blueeyes",,"modré oči",,,,"11:48 05/09/2022"
"overweight",,"velký",,,,"11:48 12/12/2022"
"red",,"zrzavé vlasy",,,,"11:48 05/09/2022"
"tall",,"vysoký",,,,"11:48 05/09/2022"
"blonde",,"blonďaté vlasy",,,,"11:48 05/09/2022"
"browneyes",,"hnědé oči",,,,"11:48 05/09/2022"
"purple",,"fialové vlasy",,,,"11:48 05/09/2022"
"nonbinary",,"nebinární",,,,"11:48 05/09/2022"
"bald",,"plešatá hlava",,,,"11:48 05/09/2022"
"they",,"oni",,,,"11:48 05/09/2022"
"them",,"jim",,,,"11:48 05/09/2022"
"their",,"jejich",,,,"11:48 05/09/2022"
"hshort",,"krátké",,,,"11:48 05/09/2022"
"ginger",,"zrzavé vlasy",,,,"11:48 05/09/2022"
"verytall",,"velmi vysoký",,,,"11:48 05/09/2022"
"white",,"bílé vlasy",,,,"11:48 05/09/2022"
"green",,"zelené vlasy",,,,"11:48 05/09/2022"
"greyeyes",,"šedé oči",,,,"11:48 05/09/2022"
"veryshort",,"velmi krátký",,,,"11:48 05/09/2022"
"grey",,"šedé vlasy",,,,"11:48 05/09/2022"
"haverage",,"průměrná výška",,,,"11:48 05/09/2022"
"blue",,"modré vlasy",,,,"11:48 05/09/2022"
"pink",,"růžové vlasy",,,,"11:48 05/09/2022"
"lb",,"libry",,,,"11:48 05/09/2022"
"muscular",,"svalnatý",,,,"11:48 05/09/2022"
"youngadult",,"mladý dospělý",,,,"11:48 05/09/2022"
"shoe size",,"velikost bot",,,,"11:48 05/09/2022"
"shoe size estimate",,"odhad",,,,"11:48 05/09/2022"
"mr",,"Pan",,,,"11:48 05/09/2022"
"mx",,"Mx",,,,"11:48 05/09/2022"
"ms",,"Paní",,,,"11:48 05/09/2022"
"age",,"Věk",,,,"11:48 05/09/2022"
"date of birth",,"Datum narození",,,,"11:48 05/09/2022"
"gender",,"Pohlaví",,,,"11:48 05/09/2022"
"height",,"Výška",,,,"11:48 05/09/2022"
"build",,"Postava",,,,"11:48 05/09/2022"
"hair",,"Vlasy",,,,"11:48 05/09/2022"
"eyes",,"Oči",,,,"11:48 05/09/2022"
"glasses",,"Brýle",,,,"11:48 05/09/2022"
"yes",,"Ano",,,,"11:48 05/09/2022"
"facial hair",,"Vlasy na obličeji",,,,"11:48 05/09/2022"
"blood type",,"Krevní skupina",,,,"11:48 05/09/2022"
"address",,"Adresa",,,,"11:48 05/09/2022"
"workplace",,"Pracoviště",,,,"11:48 05/09/2022"
"job title",,"Pracovní pozice",,,,"11:48 05/09/2022"
"work hours",,"Pracovní doba",,,,"11:48 05/09/2022"
"salary",,"Plat",,,,"11:48 05/09/2022"
"additional notes",,"Dodatečné poznámky",,,,"11:48 05/09/2022"
"no",,"Ne",,,,"11:48 05/09/2022"
"profile",,"Profil",,,,"11:48 05/09/2022"
"interest",,"Zájem",,,,"11:48 05/09/2022"
"interest-nature",,"Příroda",,,,"11:48 05/09/2022"
"none",,"Žádný",,,,"11:48 05/09/2022"
"partner first name",,"Křestní jméno partnera",,,,"11:48 05/09/2022"
"first name initial",,"Iniciála křestního jména",,,,"11:48 05/09/2022"
"handwriting",,"Rukopis",,,,"11:48 05/09/2022"
"affliction",,"Onemocnění",,,,"11:48 05/09/2022"
"affliction-highbloodpressure",,"vysoký krevní tlak",,,,"11:48 05/09/2022"
"interest-whiskey",,"whiskey",,,,"11:48 05/09/2022"
"affliction-migraines",,"migrény",,,,"11:48 05/09/2022"
"partner job",,"Povolání partnera",,,,"11:48 05/09/2022"
"interest-music",,"Hudba",,,,"11:48 05/09/2022"
"lives on the ",,"Žije na ",,,,"11:48 05/09/2022"
"telephone",,"Telefon",,,,"11:48 05/09/2022"
"works in ",,"Pracuje v ",,,,"11:48 05/09/2022"
"voice id",,"Hlasové ID",,,,"11:48 05/09/2022"
"passcode",,"Přístupový kód",,,,"11:48 05/09/2022"
"interest-baseball",,"Baseball",,,,"11:48 05/09/2022"
"lives in ",,"Žije v ",,,,"11:48 05/09/2022"
"location",,"Místo",,,,"11:48 05/09/2022"
"blueprints",,"Plány",,,,"11:48 05/09/2022"
"type",,"Typ",,,,"11:48 05/09/2022"
"belongs to",,"Patří k",,,,"11:48 05/09/2022"
"name",,"Jméno",,,,"11:48 05/09/2022"
"photo",,"Fotografie",,,,"11:48 05/09/2022"
"fingerprint",,"Otisk prstu",,,,"11:48 05/09/2022"
"first name",,"Křestní jméno",,,,"11:48 05/09/2022"
"surname",,"Příjmení",,,,"11:48 05/09/2022"
"affliction-alcoholic",,"alkoholismus",,,,"11:48 05/09/2022"
"member",,"člen",,,,"11:48 05/09/2022"
"interest-houseplants",,"pokojové rostliny",,,,"11:48 05/09/2022"
"old",,"starý",,,,"11:48 05/09/2022"
"affliction-chronicpain",,"chronická bolest",,,,"11:48 05/09/2022"
"apos",,"A+",,,,"11:48 05/09/2022"
"aneg",,"A-",,,,"11:48 05/09/2022"
"bpos",,"B+",,,,"11:48 05/09/2022"
"bneg",,"B-",,,,"11:48 05/09/2022"
"opos",,"O+",,,,"11:48 05/09/2022"
"oneg",,"O-",,,,"11:48 05/09/2022"
"abpos",,"AB+",,,,"11:48 05/09/2022"
"abneg",,"AB-",,,,"11:48 05/09/2022"
"?",,"?",,,,"11:48 05/09/2022"
"affliction-athsma",,"astma",,,,"11:48 05/09/2022"
"affliction-depression",,"deprese",,,,"11:48 05/09/2022"
"affliction-diabetic",,"cukrovka",,,,"11:48 05/09/2022"
"affliction-hardofhearing",,"ztráta sluchu",,,,"11:48 05/09/2022"
"affliction-insomnia",,"nespavost",,,,"11:48 05/09/2022"
"interest-americanfootball",,"americký fotbal",,,,"11:48 05/09/2022"
"interest-architecture",,"architektura",,,,"11:48 05/09/2022"
"interest-balletdancing",,"baletní tanec",,,,"11:48 05/09/2022"
"interest-beer",,"pivo",,,,"11:48 05/09/2022"
"interest-bodybuilding",,"kulturistika",,,,"11:48 05/09/2022"
"interest-bookworm",,"knihy",,,,"11:48 05/09/2022"
"interest-calligraphy",,"kaligrafie",,,,"11:48 05/09/2022"
"interest-chemistry",,"chemie",,,,"11:48 05/09/2022"
"interest-chess",,"šachy",,,,"11:48 05/09/2022"
"interest-classicliterature",,"klasická literatura",,,,"11:48 05/09/2022"
"interest-coffeeconnoisseur",,"káva",,,,"11:48 05/09/2022"
"interest-collectingmemorabilia",,"sbírání memorabilií",,,,"11:48 05/09/2022"
"interest-creativewriting",,"tvůrčí psaní",,,,"11:48 05/09/2022"
"interest-diy",,"DIY",,,,"11:48 05/09/2022"
"interest-drawing",,"kreslení",,,,"11:48 05/09/2022"
"interest-guns",,"zbraně",,,,"11:48 05/09/2022"
"interest-ikebana",,"ikebana",,,,"11:48 05/09/2022"
"interest-juggling",,"žonglování",,,,"11:48 05/09/2022"
"interest-knitting",,"pletení",,,,"11:48 05/09/2022"
"interest-meatlover",,"maso",,,,"11:48 05/09/2022"
"interest-painting",,"malování",,,,"11:48 05/09/2022"
"interest-photography",,"fotografie",,,,"11:48 05/09/2022"
"interest-poetry",,"poezie",,,,"11:48 05/09/2022"
"interest-soccer",,"fotbal",,,,"11:48 05/09/2022"
"interest-sports",,"sport",,,,"11:48 05/09/2022"
"interest-tarot",,"tarot",,,,"11:48 05/09/2022"
"interest-teaconnoisseur",,"čaj",,,,"11:48 05/09/2022"
"interest-tennis",,"tenis",,,,"11:48 05/09/2022"
"interest-violin",,"housle",,,,"11:48 05/09/2022"
"interest-vodka",,"vodka",,,,"11:48 05/09/2022"
"interest-weightlifting",,"vzpírání",,,,"11:48 05/09/2022"
"interest-wine",,"víno",,,,"11:48 05/09/2022"
"district",,"Okres",,,,"11:33 30/09/2022"
"sample",,"Vzorek",,,,"15:35 12/12/2022"
"partner is member",,"Partner je člen",,,,"14:52 26/04/2023"
