"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"retailowner",,"Majitel maloobchodu",,,,"11:48 05/09/2022"
"retailmanager",,"Manažer maloobchodu",,,,"11:48 05/09/2022"
"shopkeeper",,"Majitel obchodu",,,,"11:48 05/09/2022"
"generalmanager",,"Generální manažer",,,,"11:48 05/09/2022"
"headofhr",,"Vedoucí HR",,,,"11:48 05/09/2022"
"personalassistant",,"Osobní asistent",,,,"11:48 05/09/2022"
"officemanager",,"Manažer kanceláře",,,,"11:48 05/09/2022"
"headofoperations",,"Vedoucí operací",,,,"11:48 05/09/2022"
"hradministrator",,"HR administrátor",,,,"11:48 05/09/2022"
"marketingexecutive",,"Marketingový manažer",,,,"11:48 05/09/2022"
"accountant",,"Účetní",,,,"11:48 05/09/2022"
"qatechnician",,"QA technik",,,,"11:48 05/09/2022"
"customerservicetechnician",,"Technik zákaznického servisu",,,,"11:48 05/09/2022"
"buyer",,"Nákupčí",,,,"11:48 05/09/2022"
"receptionist",,"Recepční",,,,"11:48 05/09/2022"
"officetemp",,"Kancelářský dočasný pracovník",,,,"11:48 05/09/2022"
"warehousemanager",,"Manažer skladu",,,,"11:48 05/09/2022"
"administrator",,"Administrátor",,,,"11:48 05/09/2022"
"warehousetechnician",,"Skladový technik",,,,"11:48 05/09/2022"
"machinist",,"Strojník",,,,"11:48 05/09/2022"
"securityguard",,"Ostraha",,,,"11:48 05/09/2022"
"janitor",,"Správce",,,,"11:48 05/09/2022"
"barstaff",,"Personál baru",,,,"11:48 05/09/2022"
"retired",,"V důchodu",,,,"11:48 05/09/2022"
"barkeeper",,"Barman",,,,"11:48 05/09/2022"
"headchef",,"Šéfkuchař",,,,"11:48 05/09/2022"
"souschef",,"Sous chef",,,,"11:48 05/09/2022"
"kitchenhand",,"Pomocná síla v kuchyni",,,,"11:48 05/09/2022"
"companydirector",,"Ředitel společnosti",,,,"11:48 05/09/2022"
"waiter",,"Číšník",,,,"11:48 05/09/2022"
"floormanager",,"Manažer provozu",,,,"11:48 05/09/2022"
"foreman",,"Předák",,,,"11:48 05/09/2022"
"engineer",,"Inženýr",,,,"11:48 05/09/2022"
"sitemanager",,"Manažer stavby",,,,"11:48 05/09/2022"
"safetyofficer",,"Bezpečnostní technik",,,,"11:48 05/09/2022"
"r&dmanager",,"Manažer výzkumu a vývoje",,,,"11:48 05/09/2022"
"shippingmanager",,"Manažer expedice",,,,"11:48 05/09/2022"
"buildingmanager",,"Správce budovy",,,,"11:48 05/09/2022"
"securityguard2",,"Ostraha",,,,"11:48 05/09/2022"
"buildingjanitor",,"Údržbář budovy",,,,"11:48 05/09/2022"
"hiredkiller",,"Nájemný vrah",,,,"11:48 05/09/2022"
"unemployed",,"Nezaměstnaný",,,,"11:48 05/09/2022"
"waitstaff",,"Obsluha",,,,"11:48 05/09/2022"
"shopassistant",,"Prodavač",,,,"11:48 05/09/2022"
"securityguarddesk",,"Ostraha (recepce)",,,,"11:48 05/09/2022"
"selfemployedstreetstallvendor",,"Prodejce z pouličního stánku",,,,"11:48 05/09/2022"
"laundryworker",,"Pracovník prádelny",,,,"11:48 05/09/2022"
"enforcer",,"Vymahač",,,,"11:48 05/09/2022"
"enforcercaptain",,"Kapitán vymahačů",,,,"11:48 05/09/2022"
"dataanalyst",,"Datový analytik",,,,"11:48 05/09/2022"
"chiefmedicalofficer",,"Hlavní lékař",,,,"11:48 05/09/2022"
"medicalofficer",,"Lékař",,,,"11:48 05/09/2022"
"nurse",,"Sestra",,,,"11:48 05/09/2022"
"elgenclinicmanager",,"Manažer kliniky El Gen",,,,"11:48 05/09/2022"
"elgenrep",,"Zástupce El Gen",,,,"11:48 05/09/2022"
"selfemployedlandlord",,"Majitel nemovitosti",,,,"11:48 05/09/2022"
"selfemployedweaponsdealer",,"Prodejce zbraní",,,,"11:48 05/09/2022"
"weaponsdealer",,"Prodejce zbraní",,,,"11:48 05/09/2022"
"blackmarketdoctor",,"Doktor z černého trhu",,,,"11:48 05/09/2022"
"blackmarkettrader",,"Obchodník z černého trhu",,,,"11:48 05/09/2022"
"criminalaccountant",,"Účetní",,,,"11:48 05/09/2022"
"debtcollector",,"Vymahač dluhů",,,,"11:48 05/09/2022"
"gamblingdenowner",,"Majitel herny",,,,"11:48 05/09/2022"
"supervisor",,"Supervizor",,,,"11:48 05/09/2022"
"porter",,"Nosič",,,,"14:46 03/08/2023"
"labworker",,"Vědec",,,,"15:34 28/02/2024"
