"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc.",
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]",
"—","—","—","—","—","—","—",
"3b6a7426-f020-419e-b3ee-faffb3c87d22",,"Hnusné počasí",,,,"11:07 05/09/2022",
"18a97e51-2656-43ee-bfcb-eb6036f444ae",,"Jasně, den na to nebýt venku",,,,"11:07 05/09/2022",
"d44f44c2-e581-4ff3-bb15-0331643ebc65",,"Dneska je venku blázinec",,,,"11:07 05/09/2022",
"2942e651-899f-447c-aff0-f49339fc8ec0",,"To jen tak nepoleví",,,,"11:07 05/09/2022",
"f19e431b-0dda-444a-809b-73d5c29219d2",,"Pěkný den na koupání, kámo?",,,,"17:00 16/04/2024",
"e00cd74a-da2b-4db1-a50e-3b60f4d59959",,"Dešti, dešti, zmiz",,,,"11:07 05/09/2022",
"81ef6279-364a-48a3-a643-8930eddd7618",,"Díry v mých zpropadených botách",,,,"11:07 05/09/2022",
"9f54c363-3621-459a-879e-b6978d406636",,"Dejte mi minutku, jo?",,,,"11:07 05/09/2022",
"9d3196f7-68dc-4e27-9ce1-0e8ce00a2404",,"Hrozná služba",,,,"11:07 05/09/2022",
"085fa3e6-7c36-4afe-992c-235609a6dcfc",,"Hele, objednal jsem si před půl hodinou",,,,"11:07 05/09/2022",
"1ac7b7e1-7c8b-4925-beaf-6880028495e0",,"Pořiďte už nový nápis",,,,"11:07 05/09/2022",
"b5dbb4fc-751b-4f5c-bc46-57405364a7bb",,"Ahoj kámo",,,,"17:00 16/04/2024",
"b9597673-0aa6-49b5-9aea-0101ca2d260a",,"Zatracení synchro-feťáci",,,,"11:07 05/09/2022",
"f489ce8d-98bc-4557-8226-813ee8f5be32",,"Přísahám, že tohle město je den ode dne horší",,,,"11:07 05/09/2022",
"193eaf4c-d0b1-41b4-80c0-15efb6d4ad08",,"Za tohle mi to nikdo nezaplatí",,,,"11:07 05/09/2022",
"fecd4259-09ab-4f45-b122-9fd62b03665a",,"|City.time.timeofday|",,,,"11:07 05/09/2022",
"be336816-5351-4ee4-8c02-9ec16fe473fb",,"Ahoj |receiver.casualname| kámo",,,,"17:00 16/04/2024",
"12b92b94-ee64-403c-96df-12db3959ab94",,"|City.time.timeofday| |receiver.casualname|",,,,"17:00 16/04/2024",
"c07de1e0-6808-432d-9cd3-7373f3e1a5f4",,"Ahoj |receiver.casualname|",,,,"11:07 05/09/2022",
"4d42bd7c-e455-4810-a219-52e4feba0826",,"|City.time.timeofday| příteli",,,,"17:00 16/04/2024",
"4318650a-5ef8-459f-96d0-5009fa7c775c",,"Hezký |City.time.timeofday|",,,,"11:07 05/09/2022",
"d629324e-4de9-4270-a112-30bdac4818d0",,"Co tu proboha děláš?",,,,"11:07 05/09/2022",
"afe6c898-9d83-4805-90c4-16c0f4772a9b",,"Kámo, sem nesmíš!",,,,"17:00 16/04/2024",
"4fbbe811-d310-4d91-bd3e-73818e85a4b9",,"Vypadni, ty zatracený idiote!",,,,"11:07 05/09/2022",
"aa49b38d-e72e-41c2-81e2-80b96170f341",,"Vítejte v |job.employer.name|",,,,"11:07 05/09/2022",
"79dc1a60-714d-4226-a83e-84c01f4e6b21",,"Tohle je |job.employer.name|",,,,"11:07 05/09/2022",
"07dac55c-49f9-43cd-b6a0-39afdb422a6c",,"Jsem |casualname| z |job.employer.name|",,,,"11:07 05/09/2022",
"4ec1faff-7524-4edc-93a6-9bb850019dbf",,"Jak vám mohu pomoci?",,,,"11:07 05/09/2022",
"ab542639-5ad7-4a1b-a8ae-8414394274d1",,"Jak vám mohu pomoci v tento |city.time.timeofday|?",,,,"11:07 05/09/2022",
"03e5f29c-ac1e-404d-893c-82d0e7549144",,"Co chcete?",,,,"11:07 05/09/2022",
"402d8851-abca-414b-9d8e-ba86121f7863",,"Ano?",,,,"11:07 05/09/2022",
"4f92b56d-7cd1-4c4f-9ed1-5e301516869f",,"Co vám mohu přinést, příteli?",,,,"17:00 16/04/2024",
"4416a264-7283-4976-8752-2d569740e3d3",,"Počasí na kachny",,,,"11:07 05/09/2022",
"4caffb38-74d8-4d52-8099-241a7cf2de7a",,"Mně se to nelíbí",,,,"11:07 05/09/2022",
"4257a3dc-a19b-46bb-94da-e32131c28498",,"Prší už celé hodiny",,,,"11:07 05/09/2022",
"e95fe156-276b-4aa0-9c87-40430d136235",,"Když prší, tak lije",,,,"11:07 05/09/2022",
"1ae514d1-05df-4a37-a6d0-3914b83c9f73",,"Miluju ten zvuk na mém okně",,,,"11:07 05/09/2022",
"f5a8882e-926a-4c66-9307-3d524e8ad3b4",,"Vsadím se, že hráze už moc nevydrží.",,,,"11:07 05/09/2022",
"1099ca63-7adf-4a37-82f5-4ed1042f9b58",,"Dobré pro rostliny",,,,"11:07 05/09/2022",
"b8e81511-7ae5-4c93-8d3f-fce1e81d5fa1",,"Jaké rostliny?",,,,"11:07 05/09/2022",
"71e495e2-4f80-4af2-8c33-cffc4efd4984",,"Moje begonie to budou milovat",,,,"11:07 05/09/2022",
"0e2a3652-108c-46ab-92a2-426f18c1c643",,"Vlhkost je dobrá pro mé astma",,,,"11:07 05/09/2022",
"1d8185af-d054-4667-8e01-555fc03bd410",,"Chce se mi jít ven a tančit!",,,,"11:07 05/09/2022",
"f742e5ef-a8e1-4802-995c-4455116adeb5",,"Docela pěkné místo tady",,,,"11:07 05/09/2022",
"152404aa-6c9b-4201-be3a-760e931cad24",,"Je to v pohodě",,,,"11:07 05/09/2022",
"50da7d44-4b64-4d68-b621-d43c889eddac",,"Líbí se ti to?",,,,"11:07 05/09/2022",
"c6b7d6d4-4574-4f26-acff-ace7ccfac444",,"Asi jo",,,,"11:07 05/09/2022",
"ea8de675-3ddc-4b11-b687-a0d2d54ac6db",,"Tobě se nikdy nikdo nezavděčí, viď?",,,,"11:07 05/09/2022",
"422acbc8-5d7d-438e-b01d-63a6a94fbadd",,"Je to úžasné",,,,"11:07 05/09/2022",
"3f3185dd-66f6-4bd8-a4a0-31602683b0d3",,"Miluju to!",,,,"11:07 05/09/2022",
"41ba6199-2875-431f-8651-4edbfe3165e0",,"Co to je za díru",,,,"11:07 05/09/2022",
"05221446-74b2-45d3-8b32-5cceed509808",,"Nenávidím to",,,,"11:07 05/09/2022",
"413c9f16-105a-45a4-8d9e-0077f7561e94",,"Špatný |city.time.timeofday|",,,,"11:07 05/09/2022",
"566f9a8d-aed3-4eb2-8d0c-9da4d6222d41",,"Bylo někdy dobré?",,,,"11:07 05/09/2022",
"fbe8fc5e-3741-45ae-838a-21cb7b942cc8",,"Vždycky vidíš na věcech to nejlepší",,,,"11:07 05/09/2022",
"6fbc2e47-0bba-4de9-ba01-e52798edee7f",,"Jaký krásný |city.time.timeofday|",,,,"11:07 05/09/2022",
"8f185296-42da-4a2d-9fbc-699c16221cbb",,"[povzdech]",,,,"11:07 05/09/2022",
"98f19f14-90b9-4630-b229-9ed682591d28",,"Potřebuju se vyspat",,,,"11:07 05/09/2022",
"bb3ad80b-b249-4064-9be8-fec2ad078a19",,"Potřebuju další drink",,,,"11:07 05/09/2022",
"2fc1cb7e-02a4-469b-a09f-e6fd8a50ad2c",,"Musím do klubu",,,,"11:07 05/09/2022",
"83a1854f-dcdc-4fa7-8c6e-dda7f70b268d",,"Nezapomeň na mé peníze",,,,"11:07 05/09/2022",
"96dbccf0-a204-45a6-b93e-906d1d0234fa",,"Jo, jo",,,,"11:07 05/09/2022",
"5c79ef54-deb3-4722-b914-ae6e8a245ed0",,"A pak jsem řekl |random.citizen.casualname|...",,,,"11:07 05/09/2022",
"9745d5bb-088a-48e9-9136-f4b8aebd225e",,"Kdo?",,,,"11:07 05/09/2022",
"b48bb315-376a-4031-a213-79fb1ef1108a",,"Víš. |random.citizen.firstname|.",,,,"11:07 05/09/2022",
"429c5010-cec4-4439-a855-75626793e321",,"Ne?",,,,"11:07 05/09/2022",
"3a4a364d-d446-47a7-89c2-ae417b60fc90",,"Víš, |random.citizen.hairtype|, |random.citizen.build|",,,,"17:11 18/04/2024",
"4df33bcb-47e0-40b5-a27e-18397a574919",,"Ten vysoký?",,,,"15:37 20/04/2023",
"fa7e7416-b59d-453b-995b-a57d60963e98",,"Jo, víš",,,,"11:07 05/09/2022",
"376f324f-ca35-4647-9d67-31458900e34d",,"Ten z |random.citizen.home.building|?",,,,"08:46 26/03/2024",
"8ab1cdee-5eea-44db-8dd0-d8664ab48c84",,"Ne! Vůbec mě posloucháš?",,,,"11:07 05/09/2022",
"d94ac024-162c-4e52-89e2-5b5efd3e17b7",,"Promiň, ztratil jsem se. Začni znovu",,,,"11:07 05/09/2022",
"7208fc09-6d1c-4111-a38c-bc306475f9ff",,"Jak se držíš?",,,,"11:07 05/09/2022",
"e088e3f5-6f3b-4d17-8439-ed5f4c484a8d",,"Nemůžu si stěžovat",,,,"11:07 05/09/2022",
"7e43a3ae-474e-4662-af38-9bab5cd09a99",,"Jak je tvému břichu?",,,,"11:07 05/09/2022",
"d4a27be0-5100-4b66-b562-df695072e54f",,"Jako v pekle. Jak je tvému?",,,,"11:07 05/09/2022",
"4defd7ea-5d8e-41c6-bf03-c2a16c1c4627",,"Jako v pekle",,,,"11:07 05/09/2022",
"79996f79-a9ff-47fa-b18b-26c97c9cb915",,"Jdu si pro Kolu",,,,"11:07 05/09/2022",
"885e097f-f2c3-4428-a62c-ea4fdbd93e81",,"Nepomůže to",,,,"11:07 05/09/2022",
"12baa4fc-6430-48ed-bb3e-d5b97feaf389",,"Vím. Stejně si ji dám",,,,"11:07 05/09/2022",
"813306b7-93f1-46bc-a490-1fda2078fe8d",,"|random.citizen.casualname| říká, že za to může Kola",,,,"11:07 05/09/2022",
"524fd82b-7567-4150-b270-a76c6b9584cc",,"Jo, to by tak řekli",,,,"11:07 05/09/2022",
"d37d5eaa-4ee0-48b2-bf12-4c99d4628b0e",,"Bez ní je mi hůř",,,,"11:07 05/09/2022",
"34febaad-d11e-4d2c-b36d-f36c13edbd4c",,"Víš něco o těch discích?",,,,"11:07 05/09/2022",
"2bb7d85c-32c6-4ac2-bc98-71ed3737b9fc",,"Proč se ptáš?",,,,"11:07 05/09/2022",
"ea2be6f0-f3c1-44ab-8916-898bb2266c98",,"Jen jednoduchá otázka",,,,"11:07 05/09/2022",
"d9a3557c-b1ae-46ba-917a-f43136ef7198",,"Nečteš noviny?",,,,"11:07 05/09/2022",
"a07abdca-a028-4b73-9a16-8dff9628186a",,"Které?",,,,"11:07 05/09/2022",
"5bb2dee6-6916-4fb7-b700-bce17bc8012e",,"Dej mi pokoj",,,,"11:07 05/09/2022",
"f3b41ee9-ce77-42c8-bebd-93f5799234fe",,"Hele, slyšels o těch discích?",,,,"17:00 16/04/2024",
"fe30549c-836d-4df2-8c26-20678673e3e4",,"Tak jsem mu řekl, řekl jsem...",,,,"11:07 05/09/2022",
"adf92fdf-b824-40d2-8fbe-7afbc362a29b",,"Co?",,,,"11:07 05/09/2022",
"514d4e51-15c6-421f-bd56-580d8e9b7a53",,"Říkám ti co",,,,"11:07 05/09/2022",
"0db7a13d-c5da-4a89-be42-e5389e0d3436",,"Tentokrát se nevrátí",,,,"11:07 05/09/2022",
"287683d5-c218-4d4a-a8c0-ec9704f9632d",,"Jsi si jistý, že šli do Red Gums?",,,,"11:07 05/09/2022",
"1fbbaea0-a6a9-441e-a6db-6f14a5e86c20",,"Jasně, že jsem si jistý. A neříkej to jméno",,,,"11:07 05/09/2022",
"89f398f4-06b6-4362-ba08-31cfd5e17188",,"Slyšel jsem, že tvůj kamarád potkal někoho na V-Love",,,,"16:13 19/04/2024",
"e87a7e07-f9bb-4f90-ab89-4ad0c9c2e27e",,"Kdo ti to řekl?",,,,"11:07 05/09/2022",
"9022602d-a048-418d-91c8-a54107df122f",,"On",,,,"11:07 05/09/2022",
"b45fb115-fba0-4e0e-af92-d05d211497be",,"No tak to je něco",,,,"11:07 05/09/2022",
"d8b4cc21-f8a7-4e02-88fe-d887327f4a39",,"Budeš pít to pivo, příteli?",,,,"17:00 16/04/2024",
"31c6cf1c-27a0-497d-b9d2-e3f7eb8e3ec4",,"Možná ano, možná ne",,,,"11:07 05/09/2022",
"a72e7a2a-329f-46aa-aa8f-8bc253a7e4ed",,"Dám si další Starch",,,,"11:07 05/09/2022",
"952583d0-e1a7-4825-81e3-87ef5c202075",,"Hlavně s tím opatrně",,,,"11:07 05/09/2022",
"d5106c31-2497-45bf-b6c3-6489364d84ad",,"Hele, víš, když ti televize není správně naladěná? Ten šum?",,,,"11:07 05/09/2022",
"da10c56e-7efa-4194-9303-08c1463e98ba",,"Pokračuj",,,,"11:07 05/09/2022",
"b5f4f72b-72a7-442d-9339-32b46dad1778",,"Co?",,,,"11:07 05/09/2022",
"f8736a89-e3be-41c8-b060-420c1b063187",,"[povzdech]",,,,"11:07 05/09/2022",
"fb995320-132a-474b-bafc-a121c4cd7fb3",,"To je zrození vesmíru. Kosmické mikrovlny.",,,,"11:07 05/09/2022",
"4bb0dd81-24e2-46ea-8370-104700c84ea4",,"Neříkej",,,,"11:07 05/09/2022",
