"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"lobby",,"hala",,,,"11:49 05/09/2022"
"ground floor",,"přízemí",,,,"11:49 05/09/2022"
"floor landing",,"podlaží",,,,"11:49 05/09/2022"
"jobposting",,"Inzerát práce",,,,"11:49 05/09/2022"
"postedby",,"zveřejnil(a)",,,,"11:49 05/09/2022"
"isperpetrator",,"je pachatelem",,,,"11:49 05/09/2022"
"street",,"ulice",,,,"11:49 05/09/2022"
"residence",,"bydliště",,,,"11:49 05/09/2022"
"landing",,"podesta",,,,"11:49 05/09/2022"
"key",,"Klíč",,,,"11:49 05/09/2022"
"birthday",,"narozen(a)",,,,"11:49 05/09/2022"
"age",,"věk",,,,"11:49 05/09/2022"
"belongsto",,"patří",,,,"11:49 05/09/2022"
"sentby",,"poslal(a)",,,,"11:49 05/09/2022"
"located in the",,"nachází se v",,,,"11:49 05/09/2022"
"building",,"budova",,,,"11:49 05/09/2022"
"menu",,"Nabídka",,,,"11:49 05/09/2022"
"worksat",,"pracuje v",,,,"11:49 05/09/2022"
"as a",,"jako",,,,"11:49 05/09/2022"
"livesat",,"bydlí na",,,,"11:49 05/09/2022"
"locatedat",,"umístěno v",,,,"11:49 05/09/2022"
"for",,"pro",,,,"11:49 05/09/2022"
"workshours",,"pracovní hodiny",,,,"11:49 05/09/2022"
"unknown",,"Neznámý",,,,"11:49 05/09/2022"
"citizen",,"občan",,,,"11:49 05/09/2022"
"purchasedat",,"zakoupeno v",,,,"11:49 05/09/2022"
"foundat",,"nalezeno v",,,,"11:49 05/09/2022"
"deceased",,"Zesnulý",,,,"11:49 05/09/2022"
"paid by",,"zaplaceno kým",,,,"11:49 05/09/2022"
"purchasedby",,"zakoupeno kým",,,,"11:49 05/09/2022"
"purchased",,"zakoupeno",,,,"11:49 05/09/2022"
"at",,"v",,,,"11:49 05/09/2022"
"matches",,"shoduje se",,,,"11:49 05/09/2022"
"friend",,"přítel",,,,"11:49 05/09/2022"
"birthdaycard",,"Narozeninové přání",,,,"11:49 05/09/2022"
"workteam",,"pracuje s",,,,"11:49 05/09/2022"
"lover",,"milence/milence",,,,"11:49 05/09/2022"
"workother",,"pracuje s",,,,"11:49 05/09/2022"
"isfriendswith",,"je přítel(kyně) s",,,,"11:49 05/09/2022"
"familiarwork",,"pracuje s",,,,"11:49 05/09/2022"
"neighbor",,"soused(ka)",,,,"11:49 05/09/2022"
"purchasedtime",,"zakoupeno mezi",,,,"11:49 05/09/2022"
"soldat",,"prodáno v",,,,"11:49 05/09/2022"
"open",,"Otevřeno",,,,"11:49 05/09/2022"
"every day",,"každý den",,,,"11:49 05/09/2022"
"vacant",,"Volné",,,,"11:49 05/09/2022"
"businessbackroom",,"Zadní kancelář",,,,"11:49 05/09/2022"
"office",,"Kancelář",,,,"11:49 05/09/2022"
"eaterykitchen",,"Kuchyně",,,,"11:49 05/09/2022"
"customlink",,"Vytvořený odkaz",,,,"11:49 05/09/2022"
"photoof",,"z",,,,"11:49 05/09/2022"
"photograph",,"Fotografie",,,,"11:49 05/09/2022"
"workswith",,"pracuje s",,,,"11:49 05/09/2022"
"containspassword",,"obsahuje heslo",,,,"11:49 05/09/2022"
"makesreferenceto",,"odkazuje na",,,,"11:49 05/09/2022"
"string_autofact",,"[Automaticky vytvořeno]",,,,"11:49 05/09/2022"
"string_customfact",,"[Vytvořeno hráčem]",,,,"11:49 05/09/2022"
"food",,"Jídlo",,,,"11:49 05/09/2022"
"24 hours",,"24 hodin",,,,"11:49 05/09/2022"
"snacks",,"Občerstvení",,,,"11:49 05/09/2022"
"drink",,"Nápoj",,,,"11:49 05/09/2022"
"foundon",,"nalezeno na",,,,"11:49 05/09/2022"
"isinrelationshipwith",,"ve vztahu s",,,,"11:49 05/09/2022"
"referencedin",,"odkazováno v",,,,"11:49 05/09/2022"
"boundary",,"hranice",,,,"11:49 05/09/2022"
"park",,"park",,,,"11:49 05/09/2022"
"commerical",,"komerční",,,,"11:49 05/09/2022"
"industrial",,"průmyslový",,,,"11:49 05/09/2022"
"residential",,"rezidenční",,,,"11:49 05/09/2022"
"familiarresidence",,"soused(ka)",,,,"11:49 05/09/2022"
"set",,"Nastavit",,,,"11:49 05/09/2022"
"fingerprintbelongsto",,"patří",,,,"11:49 05/09/2022"
"foundatnotname",,"nalezeno v",,,,"11:49 05/09/2022"
"fingerprint",,"otisk prstu",,,,"11:49 05/09/2022"
"except",,"kromě",,,,"11:49 05/09/2022"
"featuresin",,"vystupuje v",,,,"11:49 05/09/2022"
"murderhappenedat",,"čas úmrtí",,,,"11:49 05/09/2022"
"timeofdeath",,"čas úmrtí",,,,"11:49 05/09/2022"
"from",,"Od",,,,"11:49 05/09/2022"
"to",,"Do",,,,"11:49 05/09/2022"
"istelephonenumberof",,"je telefonní číslo",,,,"11:49 05/09/2022"
"istelephonenumberfor",,"je telefonní číslo pro",,,,"11:49 05/09/2022"
"stranger",,"cizinec",,,,"11:49 05/09/2022"
"ended",,"ukončeno",,,,"11:49 05/09/2022"
"ringing",,"vyzvánění",,,,"11:49 05/09/2022"
"called",,"Volal(a)",,,,"11:49 05/09/2022"
"callfrom",,"Volání od",,,,"11:49 05/09/2022"
"callto",,"Volání na",,,,"11:49 05/09/2022"
"unknown type",,"Neznámý typ",,,,"11:49 05/09/2022"
"diedat",,"zemřel(a) v",,,,"11:49 05/09/2022"
"publicproperty",,"Veřejný majetek",,,,"11:49 05/09/2022"
"commercial",,"komerční",,,,"11:49 05/09/2022"
"municipal",,"městský",,,,"11:49 05/09/2022"
"indentify number",,"Identifikovat číslo",,,,"11:49 05/09/2022"
"indentify last caller",,"Identifikovat posledního volajícího",,,,"11:49 05/09/2022"
"enforcers",,"Strážníci",,,,"11:49 05/09/2022"
"payphone",,"telefonní budka",,,,"11:49 05/09/2022"
"duration",,"Doba trvání",,,,"11:49 05/09/2022"
"purchase",,"Nákup",,,,"11:49 05/09/2022"
"heel",,"podpatek",,,,"11:49 05/09/2022"
"size",,"velikost",,,,"11:49 05/09/2022"
"boots",,"boty",,,,"11:49 05/09/2022"
"normal",,"normální",,,,"11:49 05/09/2022"
"istarget",,"je Cílem pro",,,,"11:49 05/09/2022"
"livesatbuilding",,"bydlí v budově",,,,"11:49 05/09/2022"
"worksatbuilding",,"pracuje v budově",,,,"11:49 05/09/2022"
"livesonfloor",,"bydlí na patře",,,,"11:49 05/09/2022"
"address",,"Adresa",,,,"11:49 05/09/2022"
"type",,"Typ",,,,"11:49 05/09/2022"
"photo",,"fotografie",,,,"11:49 05/09/2022"
"voice",,"hlas",,,,"11:49 05/09/2022"
"fingerprints",,"otisky prstů",,,,"11:49 05/09/2022"
"name",,"jméno",,,,"11:49 05/09/2022"
"?",,"?",,,,"11:49 05/09/2022"
"isparamourof",,"je milenec/milenka",,,,"11:49 05/09/2022"
"unknown location",,"Neznámá lokace",,,,"11:49 05/09/2022"
"floor",,"patro",,,,"12:51 07/03/2023"
"issuspectedcheating",,"podezřelý(á) z podvádění s",,,,"11:37 08/09/2023"
"favourite",,"Oblíbené",,,,"14:40 08/09/2023"
"is",,"je",,,,"14:40 08/09/2023"
