"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"citizen",,"Občan",,,,"11:49 05/09/2022"
"lightswitch",,"Vypínač světla",,,,"11:49 05/09/2022"
"door",,"Dveře",,,,"11:49 05/09/2022"
"doorhandle",,"Klika od dveří",,,,"11:49 05/09/2022"
"building",,"budova",,,,"11:49 05/09/2022"
"location",,"lokace",,,,"11:49 05/09/2022"
"buildingdirectory",,"Adresář budovy",,,,"11:49 05/09/2022"
"employeedirectory",,"Seznam zaměstnanců",,,,"11:49 05/09/2022"
"citydirectory",,"Městský adresář",,,,"11:49 05/09/2022"
"ceilingbulb",,"Stropní světlo",,,,"11:49 05/09/2022"
"1930sceilinglight",,"Stropní světlo",,,,"11:49 05/09/2022"
"doorunderneathpeek",,"Nahlédnout pod dveře",,,,"11:49 05/09/2022"
"television",,"Televize",,,,"11:49 05/09/2022"
"fridge",,"Lednice",,,,"11:49 05/09/2022"
"chair",,"Židle",,,,"11:49 05/09/2022"
"toilet",,"Záchod",,,,"11:49 05/09/2022"
"bed",,"Postel",,,,"11:49 05/09/2022"
"shopcounter",,"Pult",,,,"11:49 05/09/2022"
"drawera",,"Zásuvka",,,,"11:49 05/09/2022"
"drawerb",,"Zásuvka",,,,"11:49 05/09/2022"
"bedsidelamp",,"Lampa",,,,"11:49 05/09/2022"
"key",,"Klíč",,,,"11:49 05/09/2022"
"residentscontract",,"Nájemní smlouva",,,,"11:49 05/09/2022"
"jobnote",,"Nabídka práce",,,,"11:49 05/09/2022"
"companyroster",,"Podrobnosti o zaměstnanci",,,,"11:49 05/09/2022"
"tradingcard",,"Sběratelská karta",,,,"11:49 05/09/2022"
"lockera",,"Skříňka",,,,"11:49 05/09/2022"
"lockerb",,"Skříňka",,,,"11:49 05/09/2022"
"lockerc",,"Skříňka",,,,"11:49 05/09/2022"
"lockerd",,"Skříňka",,,,"11:49 05/09/2022"
"lockere",,"Skříňka",,,,"11:49 05/09/2022"
"lockerf",,"Skříňka",,,,"11:49 05/09/2022"
"countera",,"Skříň",,,,"11:49 05/09/2022"
"counterb",,"Skříň",,,,"11:49 05/09/2022"
"counterc",,"Skříň",,,,"11:49 05/09/2022"
"counterd",,"Skříň",,,,"11:49 05/09/2022"
"drawerc",,"Zásuvka",,,,"11:49 05/09/2022"
"tapa",,"Kohoutek",,,,"11:49 05/09/2022"
"tapb",,"Kohoutek",,,,"11:49 05/09/2022"
"tapf",,"Kohoutek",,,,"11:49 05/09/2022"
"tapg",,"Kohoutek",,,,"11:49 05/09/2022"
"businesscard",,"Vizitka",,,,"11:49 05/09/2022"
"photo",,"Fotografie",,,,"11:49 05/09/2022"
"drawerd",,"Zásuvka",,,,"11:49 05/09/2022"
"drawere",,"Zásuvka",,,,"11:49 05/09/2022"
"hidingplace",,"Úkryt",,,,"11:49 05/09/2022"
"nameplacard",,"Jmenovka",,,,"11:49 05/09/2022"
"desklamp",,"Stolní lampa",,,,"11:49 05/09/2022"
"microcruncher",,"Mikro drtič",,,,"11:49 05/09/2022"
"airvent",,"Větrací otvor",,,,"11:49 05/09/2022"
"cabineta",,"Skříňka",,,,"11:49 05/09/2022"
"shopcounterwork",,"Pult obchodu",,,,"11:49 05/09/2022"
"shopcounterbuy",,"Pult obchodu",,,,"11:49 05/09/2022"
"birthdaycard",,"Narozeninové přání",,,,"11:49 05/09/2022"
"keypad",,"Klávesnice",,,,"11:49 05/09/2022"
"officecubicle",,"Kancelářská kóje",,,,"11:49 05/09/2022"
"menu",,"Nabídka",,,,"11:49 05/09/2022"
"jobposting",,"Inzerát práce",,,,"11:49 05/09/2022"
"photograph",,"Fotografie",,,,"11:49 05/09/2022"
"calendar",,"Kalendář",,,,"11:49 05/09/2022"
"ovena",,"Trouba",,,,"11:49 05/09/2022"
"pinnednote",,"Poznámka",,,,"11:49 05/09/2022"
"doormata",,"Rohožka",,,,"11:49 05/09/2022"
"playerbedsleepb",,"Postel",,,,"11:49 05/09/2022"
"playerbedsleepc",,"Postel",,,,"11:49 05/09/2022"
"vintagetelephone",,"Telefon",,,,"11:49 05/09/2022"
"note",,"Poznámka",,,,"11:49 05/09/2022"
"keytabletoponly",,"Klíč",,,,"11:49 05/09/2022"
"noodles",,"Nudle",,,,"11:49 05/09/2022"
"from",,"od",,,,"11:49 05/09/2022"
"workid",,"Pracovní ID",,,,"11:49 05/09/2022"
"starchkola",,"Kola",,,,"11:49 05/09/2022"
"drawerf",,"Zásuvka",,,,"11:49 05/09/2022"
"salesrecords",,"Prodejní záznamy",,,,"11:49 05/09/2022"
"starch-kola",,"Škrobová kola",,,,"11:49 05/09/2022"
"diary",,"Deník",,,,"11:49 05/09/2022"
"naiwongbao",,"Nai Wong Bao",,,,"11:49 05/09/2022"
"drawerg",,"Zásuvka",,,,"11:49 05/09/2022"
"suitcase",,"Kufr",,,,"11:49 05/09/2022"
"writtenletter",,"Dopis",,,,"11:49 05/09/2022"
"letter",,"Dopis",,,,"11:49 05/09/2022"
"travelreceipt",,"Cestovní účtenka",,,,"11:49 05/09/2022"
"vmailletter",,"Vytištěný V-Mail",,,,"11:49 05/09/2022"
"payphone",,"Telefonní budka",,,,"11:49 05/09/2022"
"stovetopkettle",,"Rychlovarná konvice",,,,"11:49 05/09/2022"
"smallcrate",,"Malá bedna",,,,"11:49 05/09/2022"
"model14chair",,"Židle",,,,"11:49 05/09/2022"
"playerstickynote",,"Poznámka",,,,"11:49 05/09/2022"
"paperclip",,"Sponka na papír",,,,"11:49 05/09/2022"
"hairpin",,"Sponka do vlasů",,,,"11:49 05/09/2022"
"dinerchaircloseb",,"Sedačka do boxu",,,,"11:49 05/09/2022"
"dinerchairfarc",,"Sedačka do boxu",,,,"11:49 05/09/2022"
"elevatorcallbuttonupa",,"Tlačítko volání",,,,"11:49 05/09/2022"
"elevatorcallbuttondownb",,"Tlačítko volání",,,,"11:49 05/09/2022"
"elevatorcontrols",,"Ovládání výtahu",,,,"11:49 05/09/2022"
"watch",,"hodinky",,,,"11:49 05/09/2022"
"nothing",,"nic",,,,"11:49 05/09/2022"
"fists",,"pěsti",,,,"11:49 05/09/2022"
"gemsteader",,"Gemsteader",,,,"11:49 05/09/2022"
"wine",,"Ruby Choice",,,,"11:49 05/09/2022"
"friedchicken",,"Smažené kuře",,,,"11:49 05/09/2022"
"fries",,"Hranolky",,,,"11:49 05/09/2022"
"mustard",,"Hořčice",,,,"11:49 05/09/2022"
"ketchup",,"Kečup",,,,"11:49 05/09/2022"
"vinegar",,"Ocet",,,,"11:49 05/09/2022"
"pepper",,"Pepř",,,,"11:49 05/09/2022"
"salt",,"Sůl",,,,"11:49 05/09/2022"
"pickapeppersauce",,"Pickapepper omáčka",,,,"11:49 05/09/2022"
"lighter",,"Zapalovač",,,,"11:49 05/09/2022"
"ashtray",,"Popelník",,,,"11:49 05/09/2022"
"dirtyplate",,"Špinavý talíř",,,,"11:49 05/09/2022"
"commemorativebaseball",,"Pamětní Bas-Boule",,,,"11:49 15/02/2024"
"cigarettes",,"Cigarety Holy Smokes",,,,"11:49 05/09/2022"
"addressbook",,"Adresář",,,,"11:49 05/09/2022"
"cleanplate",,"Čistý talíř",,,,"11:49 05/09/2022"
"breathmints",,"Minute Mints",,,,"11:49 05/09/2022"
"hamburgerinbox",,"Hamburger",,,,"11:49 05/09/2022"
"hamburger",,"Hamburger",,,,"11:49 05/09/2022"
"dinerchairclosec",,"Sedačka do boxu",,,,"11:49 05/09/2022"
"dinerchairfarb",,"Sedačka do boxu",,,,"11:49 05/09/2022"
"elevatordoorc",,"Dveře výtahu",,,,"11:49 05/09/2022"
"doormat",,"Rohožka",,,,"11:49 05/09/2022"
"drawer",,"Zásuvka",,,,"11:49 05/09/2022"
"counter",,"Pult",,,,"11:49 05/09/2022"
"oven",,"Trouba",,,,"11:49 05/09/2022"
"cabinet",,"Skříňka",,,,"11:49 05/09/2022"
"locker",,"Skříňka",,,,"11:49 05/09/2022"
"bedsleepleft",,"Postel",,,,"11:49 05/09/2022"
"bedsleepright",,"Postel",,,,"11:49 05/09/2022"
"elevatordoor",,"Dveře výtahu",,,,"11:49 05/09/2022"
"kitchencounter",,"Kuchyňská linka",,,,"11:49 05/09/2022"
"cooker",,"Sporák",,,,"11:49 05/09/2022"
"cashregister",,"Pokladna",,,,"11:49 05/09/2022"
"nakedbulb",,"Žárovka",,,,"11:49 05/09/2022"
"domedceilinglightdim",,"Kupolovité stropní světlo",,,,"11:49 05/09/2022"
"domedceilinglightbright",,"Stropní světlo",,,,"11:49 05/09/2022"
"streetlight",,"Pouliční osvětlení",,,,"11:49 05/09/2022"
"streetsteamvent",,"Pouliční parní průduch",,,,"11:49 05/09/2022"
"transformertower",,"Transformátorová věž",,,,"11:49 05/09/2022"
"domedceilinglight",,"Stropní světlo",,,,"11:49 05/09/2022"
"mangorice",,"Mangová rýže",,,,"11:49 05/09/2022"
"officelight",,"Kancelářské světlo",,,,"11:49 05/09/2022"
"takeawaycoffee",,"Káva s sebou",,,,"11:49 05/09/2022"
"cabinetignoreparent",,"Skříňka",,,,"11:49 05/09/2022"
"antidepressants",,"Victobutrol",,,,"11:49 05/09/2022"
"painkillers",,"Paxadol",,,,"11:49 05/09/2022"
"sleeping pills",,"Dorma-Dix",,,,"11:49 05/09/2022"
"barstool",,"Barová stolička",,,,"11:49 05/09/2022"
"vendingmachine",,"Prodejní automat",,,,"11:49 05/09/2022"
"showerdoor",,"Sprchové dveře",,,,"11:49 05/09/2022"
"showertap",,"Sprcha",,,,"11:49 05/09/2022"
"gramophone",,"Gramofon",,,,"11:49 05/09/2022"
"bookcase",,"Knihovna",,,,"11:49 05/09/2022"
"fridgedoor",,"Lednice",,,,"11:49 05/09/2022"
"toiletflushchain",,"Splachování toalety",,,,"11:49 05/09/2022"
"toiletseat",,"Záchodové prkénko",,,,"11:49 05/09/2022"
"slatdoor",,"Roletové dveře",,,,"11:49 05/09/2022"
"bedsleepgetready",,"Postel",,,,"11:49 05/09/2022"
"printedvmail",,"Vytištěný V-Mail",,,,"11:49 05/09/2022"
"employeerecord",,"Záznam zaměstnance",,,,"11:49 05/09/2022"
"assortedbooks2",,"Různé knihy",,,,"11:49 05/09/2022"
"assortedbooks1",,"Různé knihy",,,,"11:49 05/09/2022"
"birthcertificate",,"Rodný list",,,,"11:49 05/09/2022"
"bankstatement",,"Výpis z účtu",,,,"11:49 05/09/2022"
"medicaldetails",,"Lékařské detaily",,,,"11:49 05/09/2022"
"homefile",,"Soubory",,,,"11:49 05/09/2022"
"homefiles",,"Soubory",,,,"11:49 05/09/2022"
"alarmswitch",,"Alarmový spínač",,,,"11:49 05/09/2022"
"alarmsiren",,"Alarmová siréna",,,,"11:49 05/09/2022"
"securitydoor",,"Bezpečnostní dveře",,,,"11:49 05/09/2022"
"securitycamera",,"Bezpečnostní kamera",,,,"11:49 05/09/2022"
"sentrygun",,"Strážní zbraň",,,,"11:49 05/09/2022"
"clock",,"Hodiny",,,,"11:49 05/09/2022"
"vmailsurveillance",,"Vmail dohled",,,,"11:49 05/09/2022"
"printedsurveillance",,"Dohledová fotografie",,,,"11:49 05/09/2022"
"burningbarrel",,"Hořící sud",,,,"11:49 05/09/2022"
"deadbodycheck",,"Mrtvola",,,,"11:49 05/09/2022"
"idcard",,"ID karta",,,,"11:49 05/09/2022"
"entrywound",,"Vstupní rána",,,,"11:49 05/09/2022"
"exitwound",,"Výstupní rána",,,,"11:49 05/09/2022"
"coin",,"Mince",,,,"11:49 05/09/2022"
"worldcoin",,"Mince",,,,"11:49 05/09/2022"
"tapleft",,"Studený kohoutek",,,,"11:49 05/09/2022"
"tapright",,"Horký kohoutek",,,,"11:49 05/09/2022"
"cigaretteend",,"Cigaretový oharek",,,,"11:49 05/09/2022"
"donut",,"Donut",,,,"11:49 05/09/2022"
"cheeseburgerinbox",,"Cheeseburger",,,,"11:49 05/09/2022"
"reubensandwich",,"Reuben sendvič",,,,"11:49 05/09/2022"
"dragondog",,"Dragon Dog",,,,"11:49 05/09/2022"
"kabuliburger",,"Kabuli Burger",,,,"11:49 05/09/2022"
"toothbrushcup",,"Kelímek na zubní kartáček",,,,"11:49 05/09/2022"
"glasses",,"Brýle",,,,"11:49 05/09/2022"
"baseballcap",,"Kšiltovka Bas-Boule",,,,"11:49 15/02/2024"
"toothbrush",,"Zubní kartáček",,,,"11:49 05/09/2022"
"antispasmodics",,"Tetrasoothe",,,,"11:49 05/09/2022"
"hearingaid",,"Sluchadlo",,,,"11:49 05/09/2022"
"deskfan",,"Stolní ventilátor",,,,"11:49 05/09/2022"
"toothpaste",,"Zubní pasta",,,,"11:49 05/09/2022"
"paperstack",,"Hromada papírů",,,,"11:49 05/09/2022"
"workdocument",,"Pracovní dokument",,,,"11:49 05/09/2022"
"document",,"Dokument",,,,"11:49 05/09/2022"
"bourbon",,"Old Wheel Bourbon",,,,"11:49 05/09/2022"
"cider",,"Bobbin Hard Cider",,,,"11:49 05/09/2022"
"vodka",,"Noire Vodka",,,,"11:49 05/09/2022"
