"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","— ","—","—"
"createcustomstring",,"Nové vlastní připojení...",,,,"11:49 05/09/2022"
"unpin",,"Odepnout",,,,"11:49 05/09/2022"
"openevidence",,"Otevřít důkaz",,,,"11:49 05/09/2022"
"renamecustomlink",,"Přejmenovat vlastní připojení...",,,,"11:49 05/09/2022"
"removecustomlink",,"Odstranit vlastní připojení",,,,"11:49 05/09/2022"
"togglecrossedout",,"Přepnout přeškrtnutí",,,,"11:49 05/09/2022"
"plotroute",,"Vykreslit trasu",,,,"11:49 05/09/2022"
"cancelroute",,"Zrušit trasu",,,,"11:49 05/09/2022"
"minimizeall",,"Minimalizovat vše",,,,"11:49 05/09/2022"
"debugaccess",,"Přístup pro ladění",,,,"11:49 05/09/2022"
"rename",,"Přejmenovat...",,,,"11:49 05/09/2022"
"pinalllinks",,"Připnout všechna spojení",,,,"11:49 05/09/2022"
"unpinalllinks",,"Odepnout všechna spojení",,,,"11:49 05/09/2022"
"newstickynote",,"Nová poznámka...",,,,"11:49 05/09/2022"
"locateonmap",,"Najít na mapě",,,,"11:49 05/09/2022"
"togglecollapse",,"Přepnout sbalení",,,,"11:49 05/09/2022"
"hide",,"Skrýt",,,,"11:49 05/09/2022"
"cancel",,"Zrušit",,,,"11:49 05/09/2022"
"autotravel",,"Automatické cestování",,,,"11:48 06/02/2024"
