"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"open",,"Otevřít",,,,"11:49 05/09/2022"
"close",,"Zavřít",,,,"11:49 05/09/2022"
"turn on",,"Zapnout",,,,"11:49 05/09/2022"
"turn off",,"Vypnout",,,,"11:49 05/09/2022"
"lock",,"Zamknout",,,,"11:49 05/09/2022"
"unlock",,"Odemknout",,,,"11:49 05/09/2022"
"interact",,"Interagovat",,,,"11:49 05/09/2022"
"button",,"Tlačítko",,,,"11:49 05/09/2022"
"inspect",,"Prohlédnout",,,,"11:49 05/09/2022"
"pick up",,"Zvednout",,,,"11:49 05/09/2022"
"case file",,"Spis případu",,,,"11:49 05/09/2022"
"knock",,"Zaklepat",,,,"11:49 05/09/2022"
"lockpick",,"Páčidlo",,,,"11:49 05/09/2022"
"access",,"Přístup",,,,"11:49 05/09/2022"
"read",,"Číst",,,,"11:49 05/09/2022"
"peek",,"Nahlédnout",,,,"11:49 05/09/2022"
"return",,"Vrátit se",,,,"11:49 05/09/2022"
"lockpicking",,"Odemknutí zámku",,,,"11:49 05/09/2022"
"evasion",,"Únik",,,,"11:49 05/09/2022"
"evade",,"Uniknout",,,,"11:49 05/09/2022"
"punch",,"Udeřit",,,,"11:49 05/09/2022"
"take",,"Vzít",,,,"11:49 05/09/2022"
"talk to",,"Mluvit s",,,,"11:49 05/09/2022"
"say",,"Říci",,,,"11:49 05/09/2022"
"view file...",,"Zobrazit soubor...",,,,"11:49 05/09/2022"
"flush",,"Spláchnout",,,,"11:49 05/09/2022"
"hide",,"Skrýt se",,,,"11:49 05/09/2022"
"crawl into",,"Vlézt do",,,,"11:49 05/09/2022"
"go through",,"Projít",,,,"11:49 05/09/2022"
"use",,"Použít",,,,"11:49 05/09/2022"
"arm",,"Ozbrojit",,,,"11:49 05/09/2022"
"reivew job",,"Zkontrolovat práci",,,,"11:49 05/09/2022"
"previous month",,"Předchozí měsíc",,,,"11:49 05/09/2022"
"next month",,"Další měsíc",,,,"11:49 05/09/2022"
"review job",,"Zkontrolovat práci",,,,"11:49 05/09/2022"
"look underneath",,"Podívat se pod",,,,"11:49 05/09/2022"
"put back",,"Dát zpět",,,,"11:49 05/09/2022"
"sleep",,"Spát",,,,"11:49 05/09/2022"
"get up",,"Vstát",,,,"11:49 05/09/2022"
"answer",,"Odpovědět",,,,"11:49 05/09/2022"
"end call",,"Ukončit hovor",,,,"11:49 05/09/2022"
"get in",,"Nastoupit",,,,"11:49 05/09/2022"
"enter",,"Vstoupit",,,,"11:49 05/09/2022"
"put down",,"Položit",,,,"11:49 05/09/2022"
"throw",,"Hodit",,,,"11:49 05/09/2022"
"sit down",,"Sednout si",,,,"11:49 05/09/2022"
"take (lockpick)",,"Vzít (páčidlo)",,,,"11:49 05/09/2022"
"call",,"Volat",,,,"11:49 05/09/2022"
"cancel",,"Zrušit",,,,"11:49 05/09/2022"
"set alarm (sleep)",,"Nastavit budík (spánek)",,,,"11:49 05/09/2022"
"set hours/minutes",,"Nastavit hodiny/minuty",,,,"11:49 05/09/2022"
"pass time",,"Uplynout čas",,,,"11:49 05/09/2022"
"set alarm (pass time)",,"Nastavit budík (uplynout čas)",,,,"11:49 05/09/2022"
"scoot",,"Pohnout",,,,"11:49 05/09/2022"
"time forward",,"Čas vpřed",,,,"11:49 05/09/2022"
"time back",,"Čas zpět",,,,"11:49 05/09/2022"
"barge",,"Vrazit",,,,"11:49 05/09/2022"
"counter",,"Čítač",,,,"11:49 05/09/2022"
"jump",,"Skočit",,,,"11:49 05/09/2022"
"crouch",,"Přikrčit se",,,,"11:49 05/09/2022"
"sprint",,"Sprint",,,,"11:49 05/09/2022"
"flashlight",,"Baterka",,,,"11:49 05/09/2022"
"scroll",,"Posun/Kontextové menu",,,,"11:49 05/09/2022"
"zoom in",,"Přiblížit",,,,"11:49 05/09/2022"
"zoom out",,"Oddálit",,,,"11:49 05/09/2022"
"end conversation",,"Ukončit konverzaci",,,,"11:49 05/09/2022"
"sit",,"Sednout si",,,,"11:49 05/09/2022"
"operate",,"Ovládat",,,,"11:49 05/09/2022"
"next",,"Další",,,,"11:49 05/09/2022"
"previous",,"Předchozí",,,,"11:49 05/09/2022"
"trigger alarm",,"Spustit alarm",,,,"11:49 05/09/2022"
"view",,"Zobrazit",,,,"11:49 05/09/2022"
"slide out",,"Vysunout",,,,"11:49 05/09/2022"
"slide back",,"Zasunout",,,,"11:49 05/09/2022"
"search",,"Hledat",,,,"11:49 05/09/2022"
"unscrew bulb",,"Odšroubovat žárovku",,,,"11:49 05/09/2022"
"screw bulb",,"Zašroubovat žárovku",,,,"11:49 05/09/2022"
"scan",,"Skenovat",,,,"11:49 05/09/2022"
"take print",,"Odebrat otisk prstu",,,,"11:49 21/03/2024"
"takeprint",,"Odebírám otisk prstu",,,,"11:49 21/03/2024"
"search/analyse",,"Hledat/Analyzovat",,,,"11:49 05/09/2022"
"up",,"Nahoru",,,,"11:49 05/09/2022"
"down",,"Dolů",,,,"11:49 05/09/2022"
"handcuff",,"Nasadit pouta",,,,"11:49 05/09/2022"
"takedown",,"Srazit",,,,"11:49 05/09/2022"
"hang up",,"Zavěsit",,,,"11:49 05/09/2022"
"dial...",,"Vytočit...",,,,"11:49 05/09/2022"
"drink",,"Pít",,,,"11:49 05/09/2022"
"swap",,"Vyměnit",,,,"11:49 05/09/2022"
"eat",,"Jíst",,,,"11:49 05/09/2022"
"raise",,"Zvýšit",,,,"11:49 05/09/2022"
"take picture",,"Vyfotit",,,,"11:49 05/09/2022"
"place",,"Umístit",,,,"11:49 05/09/2022"
"sabotage",,"Sabotovat",,,,"11:49 05/09/2022"
"view fuse box",,"Zobrazit pojistkovou skříňku",,,,"11:49 05/09/2022"
"view call logs",,"Zobrazit záznamy hovorů",,,,"11:49 05/09/2022"
"select",,"Vybrat",,,,"11:49 05/09/2022"
"drop/place",,"Pustit/Umístit",,,,"11:49 05/09/2022"
"click",,"Kliknout",,,,"11:49 05/09/2022"
"check underneath",,"Zkontrolovat pod",,,,"11:49 05/09/2022"
"next page",,"Další stránka",,,,"11:49 05/09/2022"
"previous page",,"Předchozí stránka",,,,"11:49 05/09/2022"
"take one",,"Vzít jeden",,,,"11:49 05/09/2022"
"dry",,"Suchý",,,,"11:49 05/09/2022"
"ko",,"Zotavování",,,,"11:49 05/09/2022"
"install/uninstall sync disks...",,"Nainstalovat/Odinstalovat synchronizační disky...",,,,"11:49 05/09/2022"
"apply",,"Použít",,,,"11:49 05/09/2022"
"scroll/context menu",,"Posun/Kontextové menu",,,,"11:49 05/09/2022"
"inventory",,"Inventář",,,,"11:49 05/09/2022"
"sleep...",,"Spát...",,,,"11:49 05/09/2022"
"switch hours/minutes",,"Přepnout hodiny/minuty",,,,"11:49 05/09/2022"
"alarm forward",,"Budík vpřed",,,,"11:49 05/09/2022"
"alarm back",,"Budík zpět",,,,"11:49 05/09/2022"
"pass time....",,"Uplynout čas....",,,,"11:49 05/09/2022"
"set alarm (wait)",,"Nastavit budík (čekat)",,,,"11:49 05/09/2022"
"notebook",,"Notebook",,,,"11:49 05/09/2022"
"case board",,"Případová deska",,,,"11:49 05/09/2022"
"turn on hob",,"Zapnout varnou desku",,,,"11:49 05/09/2022"
"hand in case",,"Předat případ",,,,"11:49 05/09/2022"
"get case form",,"Získat formuláře řešení",,,,"11:49 05/09/2022"
"change decor",,"Změnit výzdobu",,,,"11:49 05/09/2022"
"get out",,"Vystoupit",,,,"11:49 05/09/2022"
"turn off hob",,"Vypnout varnou desku",,,,"11:49 05/09/2022"
"order",,"Objednat",,,,"11:49 05/09/2022"
"switch off",,"Vypnout",,,,"11:49 05/09/2022"
"switch on",,"Zapnout",,,,"11:49 05/09/2022"
"nearestinteractable",,"Nejbližší objekt",,,,"11:49 05/09/2022"
"nearest interactable",,"Nejbližší objekt",,,,"11:49 05/09/2022"
"scroll map",,"Posunout mapu",,,,"11:49 05/09/2022"
"cycle interface",,"Cyklovat rozhraní",,,,"11:49 05/09/2022"
"move evidence",,"Přesunout důkazy",,,,"11:49 05/09/2022"
"scroll board",,"Posunout desku",,,,"11:49 05/09/2022"
"zoom",,"Zoom",,,,"11:49 05/09/2022"
"prev. window",,"Předchozí okno",,,,"11:49 05/09/2022"
"next window",,"Další okno",,,,"11:49 05/09/2022"
"move window",,"Přesunout okno",,,,"11:49 05/09/2022"
"context menu",,"Kontextové menu",,,,"11:49 05/09/2022"
"shoot",,"Střílet",,,,"11:49 05/09/2022"
"reset",,"Reset",,,,"11:49 05/09/2022"
"resume",,"Pokračovat",,,,"11:49 05/09/2022"
"release",,"Uvolnit",,,,"11:49 05/09/2022"
"give",,"Dát",,,,"11:49 05/09/2022"
"attack",,"Zaútočit",,,,"11:49 05/09/2022"
"vomit",,"Zvracet",,,,"11:49 05/09/2022"
"vomiting",,"Zvracení",,,,"11:49 05/09/2022"
"sabotaging",,"sabotování",,,,"11:49 05/09/2022"
"select & return",,"Vybrat a vrátit",,,,"11:49 05/09/2022"
"select & close",,"Vybrat a zavřít",,,,"11:49 05/09/2022"
"next track",,"Další skladba",,,,"15:45 29/09/2022"
"previous track",,"Předchozí skladba",,,,"15:45 29/09/2022"
"create string",,"Vytvořit řetězec",,,,"14:08 11/01/2023"
"lower",,"Snížit",,,,"14:47 12/01/2023"
"rotate left",,"Otočit doleva",,,,"12:38 15/02/2023"
"rotate right",,"Otočit doprava",,,,"12:38 15/02/2023"
"dispose",,"Zlikvidovat",,,,"10:25 10/04/2023"
"drinking",,"Pít",,,,"15:15 26/09/2023"
"cancel auto travel",,"Zrušit automatické cestování",,,,"15:08 06/02/2024"
"drag",,"Táhnout [Držet]",,,,"15:51 12/03/2024"
"put in 1000 crows",,"Vložit 1000 vran",,,,"16:50 28/03/2024"
"take 1000 crows",,"Vzít 1000 vran",,,,"16:51 28/03/2024"
"toggle flash",,"Přepnout blesk",,,,"15:44 05/04/2024"
"flash on",,"Blesk zapnut",,,,"15:51 05/04/2024"
"flash off",,"Blesk vypnut",,,,"15:51 05/04/2024"
"filling cup",,"Plnění poháru",,,,"12:02 19/04/2024"
"fill cup",,"Naplnit pohár",,,,"12:03 19/04/2024"
"smoke",,"Kouřit",,,,"12:45 05/02/2025"
