Game Reference Key,Notes,Displayed Text,Alternate Text,Frequency,Requires Suffix,Misc.
[The key used by the game to find strings],"[Not loaded into the game, for explanation only]",[The displayed string in-game],"[Alternate displayed string, eg. Nickname]",[For lists],[Does this require a suffix for naming?],[Miscellaneous]
— ,— ,— ,— ,— ,— ,—
generating,,Generuji,,,,11:49 05/09/2022
start,,Start,,,,11:49 05/09/2022
setupcityboundary,,Nastavuji hranici města,,,,11:49 05/09/2022
generatedistricts,,Vytvářím čtvrti,,,,11:49 05/09/2022
generateblocks,,Vytvářím bloky,,,,11:49 05/09/2022
generatedensity,,Vytvářím hustotu,,,,11:49 05/09/2022
generatezoning,,Vytvářím zóny,,,,11:49 05/09/2022
loadbasemap,,Načítám základní mapu,,,,11:49 05/09/2022
generatebuildings,,Vytvářím budovy,,,,11:49 05/09/2022
generatepathfinding,,Vytvářím síť pro hledání cest,,,,11:49 05/09/2022
generateroads,,Vytvářím ulice,,,,11:49 05/09/2022
generatecitizens,,Vytvářím občany,,,,11:49 05/09/2022
generaterelationships,,Vytvářím vztahy,,,,11:49 05/09/2022
generatecriminals,,Vytvářím zločince,,,,11:49 05/09/2022
generateroutines,,Vytvářím rutiny,,,,11:49 05/09/2022
generatepaths,,Počítám cesty,,,,11:49 05/09/2022
gatherdata,,Shromažďuji data,,,,11:49 05/09/2022
generateevidence,,Vytvářím důkazy,,,,11:49 05/09/2022
simulateday,,Simuluji den,,,,11:49 05/09/2022
generatepathsfollowingsimday,,Počítám cesty (po simulaci dne),,,,11:49 05/09/2022
postdaysimulation,,Shromažďuji data,,,,11:49 05/09/2022
population,,Populace,,,,11:49 05/09/2022
ready,,Připraveno,,,,11:49 05/09/2022
prepping,,Připravuji,,,,11:49 05/09/2022
removecompletedroutines,,Odstraňuji dokončené rutiny,,,,11:49 05/09/2022
setupemmisiontextures,,Vytvářím emisní textury,,,,11:49 05/09/2022
gather,,Shromažďuji data,,,,11:49 05/09/2022
finalizing,,Dokončuji,,,,11:49 05/09/2022
generateinteriors,,Vytvářím interiéry,,,,11:49 05/09/2022
generateblueprints,,Vytvářím plány,,,,11:49 05/09/2022
generaterooms,,Vytvářím místnosti,,,,11:49 05/09/2022
loadrooms,,Načítám místnosti,,,,11:49 05/09/2022
connectrooms,,Propojuji místnosti,,,,11:49 05/09/2022
preparecitizens,,Připravuji občany,,,,11:49 05/09/2022
savingdata,,Ukládám data,,,,11:49 05/09/2022
entering,,Vstupuji,,,,11:49 05/09/2022
calculatenearest,,Optimalizuji cesty,,,,11:49 05/09/2022
generatecompanies,,Vytvářím společnosti,,,,11:49 05/09/2022
generatejobs,,Vytvářím pracovní místa,,,,11:49 05/09/2022
generateairducts,,Generuji vzduchotechnické potrubí,,,,11:49 05/09/2022
loadchapter,,Načítám kapitolu,,,,11:49 05/09/2022
loadobjects,,Načítám objekty,,,,11:49 05/09/2022
loadstate,,Načítám stav hry,,,,11:49 15/11/2022
presim,,Simuluji minulé události,,,,11:49 05/09/2022
loadcomplete,,Hotovo,,,,11:49 05/09/2022
parsingfile,,Načítám soubor uložené hry,,,,11:49 05/09/2022
