"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ",,"— ","— ","— "
"tutorialenable_title",,"Povolit tutoriál",,,,"11:49 05/09/2022"
"tutorialenable_body",,"Chtěli byste povolit text tutoriálu, který vás provede hrou? Doporučuje se to pro nové hráče.\n\nV Shadows of Doubt vás tutoriál provede tím, jak používat mechaniky, ačkoliv spojování souvislostí v průběhu případu je na vašich bedrech, detektive!\n\nPomoc je také kdykoli dostupná prostřednictvím vašeho 'Detektivního průvodce' v hlavním menu, nebo pomocí |controls.notebook| a výběrem sekce 'nápověda'.",,,,"11:49 28/02/2023"
"no",,"Ne",,,,"11:49 05/09/2022"
"yes",,"Ano",,,,"11:49 05/09/2022"
"tutorialend_title",,"Pokračovat...",,,,"11:49 05/09/2022"
"tutorialend_body",,"Dostali jste se na konec řízené příběhové mise. Stále máte co dělat a objevovat, ale bude to bez navádění. Nyní je to na vás, detektive...\n\nPamatujte: Herní nápovědu můžete kdykoli povolit nebo zakázat pomocí menu možností hry.",,,,"11:49 05/09/2022"
"tutorialpubliccitydir_title",,"Adresář města",,,,"11:49 05/09/2022"
"tutorialpubliccitydir_body",,"Kromě vašeho bytu často najdete městské adresáře na veřejných místech, jako jsou bary a restaurace.",,,,"11:49 05/09/2022"
"tutorialapartment_title",,"Váš byt",,,,"11:49 05/09/2022"
"tutorialapartment_body",,"Do svého bytu se můžete kdykoli vrátit. Chcete-li ho najít, otevřete mapu a použijte malé tlačítko s ikonou domu vlevo nahoře.",,,,"11:49 05/09/2022"
"customfactrename_title",,"Vlastní řetězec",,,,"11:49 05/09/2022"
"customfactrename_body",,"Pojmenujte svůj vytvořený odkaz na řetězec.",,,,"11:49 05/09/2022"
"cancel",,"Zrušit",,,,"11:49 05/09/2022"
"lang_change_title",,"Změna jazyka",,,,"11:49 05/09/2022"
"lang_change_body",,"Pro projevení nového jazyka je nutné restartovat hru. Chcete to udělat nyní? Ujistěte se, že jste hru uložili!",,,,"11:49 05/09/2022"
"restart",,"Restartovat",,,,"11:49 05/09/2022"
"continue",,"Pokračovat",,,,"11:49 05/09/2022"
"dropitem_title",,"Inventář plný",,,,"11:49 05/09/2022"
"dropitem_body",,"Váš inventář je plný! Prosím, něco vyhoďte, abyste mohli zakoupit tuto položku...",,,,"11:49 05/09/2022"
"confirm",,"Potvrdit",,,,"11:49 05/09/2022"
"createcase_title",,"Nový případ",,,,"11:49 05/09/2022"
"createcase_body",,"Vytvořit novou případovou desku s tímto názvem.",,,,"11:49 05/09/2022"
"noactivecase_title",,"Žádný aktivní případ",,,,"11:49 05/09/2022"
"noactivecase_body",,"Není vybrán žádný aktivní případ. Chcete vytvořit nový?",,,,"11:49 05/09/2022"
"renamecase_title",,"Přejmenovat případ",,,,"11:49 05/09/2022"
"renamecase_body",,"Přejmenovat tento případ.",,,,"11:49 05/09/2022"
"closecase_title",,"Zavřít případ?",,,,"11:49 05/09/2022"
"closecase_body",,"Opravdu chcete zavřít tento případ? Ztratíte všechny připnuté informace na své desce.",,,,"11:49 05/09/2022"
"citydelete_title",,"Smazat město?",,,,"11:49 05/09/2022"
"citydelete_body",,"Opravdu chcete smazat toto město?",,,,"11:49 05/09/2022"
"charactername_title",,"Přejmenovat postavu",,,,"11:49 05/09/2022"
"charactername_body",,"Zadejte jméno své postavy.",,,,"11:49 05/09/2022"
"cityname_title",,"Přejmenovat město",,,,"11:49 05/09/2022"
"cityname_body",,"Zadejte název svého města.",,,,"11:49 05/09/2022"
"sharecode_title",,"Upravit sdílecí kód",,,,"11:49 05/09/2022"
"sharecode_body",,"Zadejte požadovaný sdílecí kód.",,,,"11:49 05/09/2022"
"savegame_title",,"Uložit hru?",,,,"11:49 05/09/2022"
"savegame_body",,"Zadejte název uložené hry.",,,,"11:49 05/09/2022"
"input_citizen_title",,"Zadat občana",,,,"11:49 05/09/2022"
"input_citizen_body",,"Zadejte křestní jméno a příjmení občana.",,,,"11:49 05/09/2022"
"input_location_title",,"Zadat lokaci",,,,"11:49 05/09/2022"
"input_location_body",,"Zadejte název lokace.",,,,"11:49 05/09/2022"
"choose next lead_title",,"Vybrat vodítko",,,,"11:49 05/09/2022"
"choose next lead_body",,"V Shadows of Doubt existuje téměř vždy více způsobů, jak vést vyšetřování: Zde jsou aktuálně dostupná vodítka, vyberte si jedno jako start, kterým budete provedeni. Pamatujte: V hlavní hře budete muset myslet sami, detektive! Navíc, vzhledem k simulované povaze hry, některá vodítka mohou být slepé uličky (prostě součást práce).\n\n<u>Pokud si myslíte, že máte dostatek informací k vyřešení případu, vyplňte formulář pro řešení pomocí tlačítka vpravo nahoře.</u>",,,,"11:49 28/02/2023"
"investigate cctv records",,"Vyšetřovat CCTV záznamy",,,,"11:49 05/09/2022"
"investigate phone calls",,"Vyšetřovat telefonní hovory",,,,"11:49 05/09/2022"
"investigate vmails",,"Vyšetřovat kancelář",,,,"11:49 05/09/2022"
"investigate murder weapon",,"Vyšetřovat prodejce zbraní",,,,"11:49 05/09/2022"
"closecasestory_title",,"Zavřít příběhový případ",,,,"11:49 05/09/2022"
"closecasestory_body",,"Příběhový případ v tuto chvíli nemůžete zavřít.",,,,"11:49 05/09/2022"
"disable leads",,"Zakázat vodítka",,,,"11:49 05/09/2022"
"off",,"Vypnuto",,,,"11:49 05/09/2022"
"on",,"Zapnuto",,,,"11:49 05/09/2022"
"savegameoverwrite_title",,"Uložit hru",,,,"11:49 05/09/2022"
"savegameoverwrite_body",,"Zadejte jméno:",,,,"11:49 05/09/2022"
"citysave_title",,"Smazat hru",,,,"11:49 05/09/2022"
"citysave_body",,"Smazat tuto uloženou hru?",,,,"11:49 05/09/2022"
"time limit reached_title",,"Čas vypršel!",,,,"11:49 05/09/2022"
"time limit reached_body",,"Bohužel, váš časový limit vypršel, detektive. Doufejme, že se naše cesty zkříží v plné verzi...",,,,"11:49 05/09/2022"
"end demo",,"Ukončit demo",,,,"11:49 05/09/2022"
"demo welcome_title",,"Vítejte",,,,"11:49 05/09/2022"
"demo welcome_body",,"Vítejte v této demo verzi Shadows of Doubt! Jsme opravdu nadšeni, že si ji zahrajete, ale mějte prosím na paměti, že tato verze je omezená co do funkčnosti a herního času.\n\nHra je také stále ve vývoji, takže tu a tam očekávejte nějaké chyby. Nebojte se, opravíme je pro finální vydání.\n\nUžijte si to! \n-Cole, Vývojář",,,,"11:49 05/09/2022"
"installsyncdisk_title",,"Nainstalovat nový synchronizační disk?",,,,"11:49 05/09/2022"
"installsyncdisk_body",,"Opravdu chcete nainstalovat tuto konfiguraci synchronizačního disku?\n\nPo instalaci nelze konfiguraci změnit bez přeinstalace jiného synchronizačního disku stejného typu.",,,,"11:49 05/09/2022"
"install",,"Nainstalovat",,,,"11:49 05/09/2022"
"uninstallsyncdisk_title",,"Odinstalovat synchronizační disk?",,,,"11:49 05/09/2022"
"uninstallsyncdisk_body",,"Opravdu chcete odinstalovat tento synchronizační disk?\n\nPo odinstalaci budete muset získat další synchronizační disk stejného typu, abyste jej mohli znovu nainstalovat.",,,,"11:49 05/09/2022"
"uninstall",,"Odinstalovat",,,,"11:49 05/09/2022"
"upgradesyncdisk_title",,"Vylepšit synchronizační disk?",,,,"11:49 05/09/2022"
"upgradesyncdisk_body",,"Opravdu chcete utratit vylepšovací lahvičku za vylepšení tohoto synchronizačního disku? Tuto akci nebudete moci vrátit zpět.",,,,"11:49 05/09/2022"
"upgrade",,"Vylepšit",,,,"11:49 05/09/2022"
"addresspassword_title",,"Zadejte heslo",,,,"11:49 05/09/2022"
"addresspassword_body",,"Jaké je heslo?",,,,"11:49 05/09/2022"
"retire_title",,"Jít do důchodu?",,,,"11:49 05/09/2022"
"retire_body",,"Jste připraveni odejít do důchodové čtvrti Fields? Tímto skončí hra pro tuto postavu...",,,,"11:49 05/09/2022"
"tutorial skip_title",,"Přeskočit sekci tutoriálu?",,,,"11:49 05/09/2022"
"tutorial skip_body",,"Vypadá to, že se touláte! První sekce vysvětluje, jak fungují některé základní herní mechaniky, chcete se vrátit do svého bytu a projít si ji? Jinak můžete první sekci přeskočit, nebo jednoduše zrušit a pokračovat v prozkoumávání.\n\nTipy: Pokud nechcete vůbec sledovat cíle, doporučujeme začít hru v režimu 'Sandbox'.",,,,"11:49 05/09/2022"
"skip",,"Přeskočit tutoriál",,,,"11:49 05/09/2022"
"return to apartment",,"Zpět do bytu",,,,"11:49 05/09/2022"
"next",,"Další",,,,"11:51 31/10/2022"
"previous",,"Předchozí",,,,"12:01 31/10/2022"
"purchaseask_title",,"Koupit",,,,"10:53 25/11/2022"
"purchaseask_body",,"Chcete to koupit?",,,,"10:53 25/11/2022"
"sellask_title",,"Prodat",,,,"10:54 25/11/2022"
"sellask_body",,"Chcete to prodat?",,,,"10:54 25/11/2022"
"dud_lead_title",,"Slepá ulička?",,,,"12:22 30/11/2022"
"dud_lead_body",,"Ne každé vodítko, které prozkoumáte, se ukáže jako plodné.\n\nJe to všechno součást práce, detektive, přejděte na další vodítko, až budete připraveni, nebo pokud si myslíte, že máte dostatek informací k vyřešení případu, zadejte je do formuláře pro řešení.",,,,"12:22 30/11/2022"
"incompatible_version_title",,"Chybí data města",,,,"10:58 30/08/2023"
"incompatible_version_body",,"Nepodařilo se najít soubor s lokálními daty města, který tato uložená hra používá:",,,,"15:55 15/01/2024"
"renameevidence_title",,"Přejmenovat důkaz",,,,"15:49 11/12/2022"
"renameevidence_body",,"Přejmenovat tento důkaz...",,,,"15:49 11/12/2022"
"renamedisabled_title",,"Přejmenování zakázáno",,,,"15:51 11/12/2022"
"renamedisabled_body",,"Tento typ důkazu nelze přejmenovat.",,,,"15:51 11/12/2022"
"take item_title",,"Vzít předmět",,,,"11:26 02/01/2023"
"take item_body",,"Opravdu chcete vzít tento předmět?",,,,"11:26 02/01/2023"
"toomanycases_title",,"Příliš mnoho případů",,,,"11:24 09/01/2023"
"toomanycases_body",,"Nemůžete otevřít další případ, prosím, zavřete jeden a zkuste to znovu.",,,,"11:24 09/01/2023"
"channelname_title",,"Zadejte název kanálu",,,,"14:14 16/01/2023"
"channelname_body",,"Zadejte název kanálu, aby se jména diváků mohla shromáždit a použít jako jména občanů ve vaší hře.",,,,"14:14 16/01/2023"
"streamer mode_title",,"Plánujete streamovat?",,,,"11:34 30/01/2023"
"streamer mode_body",,"Shadows of Doubt obsahuje malý počet licencovaných hudebních skladeb v herních jukebozech a stereo systémech. Pokud plánujete streamování nebo nahrávání zpeněženého videa ze hry, doporučuje se je zakázat.\n\nToto nastavení můžete kdykoli změnit v menu Nastavení streamování.",,,,"11:34 30/01/2023"
"furnitureplacement_title",,"Zakoupit dekorační předmět?",,,,"17:22 14/02/2023"
"furnitureplacement_body",,"Chcete zakoupit tento dekorační předmět?",,,,"17:22 14/02/2023"
"move to storage_title",,"Přesunout do skladu?",,,,"11:30 15/02/2023"
"move to storage_body",,"Chcete přesunout vše v této místnosti do skladu?",,,,"11:30 15/02/2023"
"disable",,"Zakázat",,,,"13:15 13/03/2023"
"keep enabled",,"Ponechat povoleno",,,,"13:15 13/03/2023"
"bugname_title",,"Název chyby",,,,"15:05 19/04/2023"
"bugname_body",,"Název této chyby (obvykle stručný souhrn)",,,,"15:05 19/04/2023"
"bugdetails_title",,"Detaily chyby",,,,"15:05 19/04/2023"
"bugdetails_body",,"Zadejte konkrétnější detaily o této chybě...",,,,"15:05 19/04/2023"
"bugsubmit_title",,"Odeslání chyby",,,,"16:02 19/04/2023"
"bugsubmit_body",,"Vaše informace se odesílají, můžete mezitím pokračovat ve hře. Děkujeme za váš vstup a pomoc při vylepšování Shadows of Doubt!",,,,"16:02 19/04/2023"
"bugsubmitdelay_title",,"Odeslání chyby",,,,"10:10 23/04/2023"
"bugsubmitdelay_body",,"Prosím, počkejte alespoň 15 sekund mezi hlášeními chyb...",,,,"10:10 23/04/2023"
"skip to next tutorial section",,"Přeskočit na další sekci tutoriálu",,,,"14:53 23/04/2023"
"buyapartment_title",,"Koupit byt",,,,"13:50 09/05/2023"
"buyapartment_body",,"Opravdu chcete koupit tento byt?",,,,"13:50 09/05/2023"
"deleteprefs_title",,"Obnovit nastavení na výchozí?",,,,"15:57 12/07/2023"
"deleteprefs_body",,"Tímto se všechna herní nastavení vrátí na výchozí a hra se restartuje. Ujistěte se, že jste hru uložili!",,,,"15:57 12/07/2023"
"modrestart_title",,"Použít změny modů?",,,,"16:36 03/10/2023"
"modrestart_body",,"Jsou zde nevyřízené změny konfigurace modů a hra se musí restartovat, aby se správně implementovaly. Chcete hru restartovat nyní?",,,,"16:36 03/10/2023"
"cityoverwritewarning_title",,"Existující město!",,,,"11:31 07/11/2023"
"cityoverwritewarning_body",,"Město s tímto názvem, seedem a velikostí již existuje. Prosím, změňte konfiguraci, abyste mohli pokračovat v generování nového města...",,,,"11:31 07/11/2023"
"buildingname_title",,"Změnit název budovy",,,,"16:02 17/11/2023"
"buildingname_body",,"Změnit název této budovy...",,,,"16:02 17/11/2023"
"streetname_title",,"Změnit název ulice",,,,"12:55 20/11/2023"
