"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","—","—","—","—"
"trespassing",,"Vstup bez oprávnění",,,,"11:49 05/09/2022"
"trespassing_description_trespassmajor",,"Pokud budete objeveni, můžete čelit zajetí, pokutám nebo hůře!",,,,"11:49 05/09/2022"
"trespassing_description_trespassminor",,"Budete požádáni o odchod, pokud neodejdete, budou následky...",,,,"11:49 05/09/2022"
"illegalaction",,"Nezákonná akce",,,,"11:49 05/09/2022"
"illegalaction_description",,"Pokud budete objeveni, můžete čelit zajetí, pokutám nebo hůře!",,,,"11:49 05/09/2022"
"capturerisk",,"Potenciální pokuty",,,,"11:49 02/03/2023"
"capturerisk_description",,"Pokud budete chyceni, zaplatíte to. Ztratíte své svědky. Pokud je podtrženo, znamená to, že jste byli spatřeni a musíte uniknout z budovy.",,,,"11:49 05/09/2022"
"trespassing_description",,"Vstup bez oprávnění",,,,"11:49 05/09/2022"
"theft_description",,"Krádež",,,,"11:49 05/09/2022"
"tampering_description",,"Manipulace",,,,"11:49 05/09/2022"
"assault_description",,"Napadení",,,,"11:49 05/09/2022"
"breakingandentering_description",,"Vloupání",,,,"11:49 05/09/2022"
"stinky",,"Smradlavý",,,,"11:49 05/09/2022"
"stinky_description",,"Občané vás mohou cítit dříve, než vás uvidí! Sprchujte se.",,,,"11:49 05/09/2022"
"cold",,"Zima",,,,"11:49 05/09/2022"
"cold_description",,"Očekávejte třes a pomalý pokles zdraví. Udělejte něco nebo jděte někam, kde je tepleji.",,,,"11:49 05/09/2022"
"tired",,"Unavený",,,,"11:49 05/09/2022"
"tired_description",,"Postih k rychlosti pohybu. Pokud si sednete nebo lehnete, usnete. Dejte si kofein nebo si odpočiňte.",,,,"11:49 05/09/2022"
"wet",,"Mokrý",,,,"11:49 05/09/2022"
"wet_description",,"Dávejte pozor, abyste neběželi po kluzkém povrchu! To zmizí samo, nebo si můžete najít ručník.",,,,"11:49 05/09/2022"
"headache",,"Bolest hlavy",,,,"11:49 05/09/2022"
"headache_description",,"Postih k rychlosti pohybu. Běhání to zhorší! To zmizí samo, nebo si můžete najít nějaké léky proti bolesti.",,,,"11:49 05/09/2022"
"hungry",,"Hladový",,,,"11:49 05/09/2022"
"hungry_description",,"Obnova zdraví je neaktivní. Sežeňte si něco k jídlu.",,,,"11:49 05/09/2022"
"thirsty",,"Žíznivý",,,,"11:49 05/09/2022"
"thirsty_description",,"Obnova zdraví je neaktivní. Sežeňte si něco k pití.",,,,"11:49 05/09/2022"
"drunk",,"Opilý",,,,"11:49 05/09/2022"
"drunk_description",,"Jste opilí! Postih k rychlosti pohybu a ovládání. To zmizí samo.",,,,"11:49 05/09/2022"
"sick",,"Nevolnost",,,,"11:49 05/09/2022"
"sick_description",,"Postih k rychlosti pohybu a ovládání. To zmizí samo, nebo si můžete najít místo, kde se vyzvracíte.",,,,"11:49 05/09/2022"
"pursued",,"Pronásledován",,,,"11:49 05/09/2022"
"pursued_description",,"Jste pronásledováni!",,,,"11:49 05/09/2022"
"hydrated",,"Hydratovaný",,,,"11:49 05/09/2022"
"hydrated_description",,"Zvýšení maximálního zdraví a regenerace zdraví.",,,,"11:49 05/09/2022"
"energized",,"Plný energie",,,,"11:49 05/09/2022"
"energized_description",,"Zvýšení maximálního zdraví a regenerace zdraví.",,,,"11:49 05/09/2022"
"focused",,"Soustředěný",,,,"11:49 05/09/2022"
"focused_description",,"Zvýšení rychlosti pohybu.",,,,"11:49 05/09/2022"
"brokenleg",,"Zlomená noha",,,,"11:49 05/09/2022"
"brokenleg_description",,"Postih k rychlosti pohybu. Najděte si dlahu, abyste to vyléčili.",,,,"11:49 05/09/2022"
"blackeye",,"Černé oko",,,,"11:49 05/09/2022"
"blackeye_description",,"Postih k vidění. To zmizí samo, ale léky proti bolesti mohou urychlit zotavení.",,,,"11:49 05/09/2022"
"bruised",,"Pohmožděný",,,,"11:49 05/09/2022"
"bruised_description",,"Příchozí poškození je zvýšeno. To zmizí samo, ale léky proti bolesti mohou urychlit zotavení.",,,,"11:49 05/09/2022"
"numb",,"Necitlivý",,,,"11:49 05/09/2022"
"numb_description",,"Příchozí a odchozí poškození je sníženo. To zmizí samo.",,,,"11:49 05/09/2022"
"bleeding",,"Krvácení",,,,"11:49 05/09/2022"
"bleeding_description",,"Pomalý pokles zdraví. To zmizí samo, ale nejdříve můžete omdlít! Najděte si obvaz.",,,,"11:49 05/09/2022"
"detained",,"Zadržený",,,,"11:49 05/09/2022"
"detained_description",,"Jste zadrženi, ostraha vás bude cílit, pokud se pokusíte uniknout. Zrušíte to zaplacením poplatků nebo úspěšným útěkem.",,,,"11:49 05/09/2022"
"wellrested",,"Dobře odpočatý",,,,"11:49 05/09/2022"
"wellrested_description",,"Zvýšení rychlosti pohybu, maximálního zdraví a regenerace zdraví.",,,,"11:49 05/09/2022"
"wanted",,"Bezpečnostní hrozba!",,,,"11:49 05/09/2022"
"wanted_description",,"Alarmové systémy vás budou cílit, ujistěte se, že se jim vyhnete.",,,,"11:49 05/09/2022"
"hiding",,"Skrytí",,,,"11:49 05/09/2022"
"hiding_description",,"Pokud vás nikdo neviděl schovat se, jste v bezpečí před pronásledovateli.",,,,"11:49 05/09/2022"
"vandalism_description",,"Vandalismus",,,,"11:49 05/09/2022"
"starchaddiction",,"Závislost na Starch Kole",,,,"11:49 05/09/2022"
"starchaddiction_description",,"K uspokojení této touhy si dejte produkt Starch Kola.",,,,"11:49 05/09/2022"
"syncdiskinstall",,"Instalace synchronizačního disku...",,,,"11:49 05/09/2022"
"syncdiskinstall_description",,"Můžete zažít mírnou dezorientaci.",,,,"11:49 05/09/2022"
"poisoned",,"Otrávený",,,,"11:49 05/09/2022"
"poisoned_description",,"Rychle ztratíte zdraví! Najděte uhlíkové tablety k pročištění systému.",,,,"11:49 05/09/2022"
"toxicgas",,"Toxický plyn",,,,"11:49 05/09/2022"
"toxicgas_description",,"Tato místnost obsahuje toxický plyn, okamžitě opusťte!",,,,"11:49 05/09/2022"
"alarmactive",,"Alarm aktivní",,,,"11:49 05/09/2022"
"blinded",,"Oslněný",,,,"11:49 05/09/2022"
"blinded_description",,"Oslněný",,,,"11:49 05/09/2022"
"guestpass",,"Hostovský průkaz",,,,"15:23 20/10/2022"
"guestpass_description",,"Máte povoleno prozkoumávat",,,,"15:23 20/10/2022"
"echelons",,"Zóna Echelonů",,,,"16:17 07/02/2024"
"echelons_description",,"Echelony jsou uzavřené komunitní oblasti výhradně pro občany s vysokým sociálním statusem.",,,,"16:17 07/02/2024"
