"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","—","—","—","—"
"map",,"Přepnout mapu",,,,"11:49 05/09/2022"
"map_detail",,"Slouží k navigaci mezi lokacemi",,,,"11:49 05/09/2022"
"locate on map",,"Najít na mapě",,,,"11:49 05/09/2022"
"plot route",,"Naplánovat trasu",,,,"11:49 05/09/2022"
"auto travel",,"Automatické cestování",,,,"11:49 05/09/2022"
"editor_elevator",,"Umístit výtahy. Po umístění je otočte výběrem",,,,"11:49 05/09/2022"
"editor_stairwell",,"Umístit schodiště. Po umístění je otočte výběrem",,,,"11:49 05/09/2022"
"editor_secondaryentrance",,"Umístit vedlejší vchody",,,,"11:49 05/09/2022"
"editor_mainentrance",,"Umístit hlavní vchod",,,,"11:49 05/09/2022"
"editor_rotatefloor",,"Otočit uzel jiným směrem",,,,"11:49 05/09/2022"
"editor_designatewalls",,"Označit stěnové dlaždice",,,,"11:49 05/09/2022"
"editor_designateaddress",,"Označit adresy",,,,"11:49 05/09/2022"
"editor_designatefloor",,"Označit podlahu/strop",,,,"11:49 05/09/2022"
"editor_notool",,"Zrušit výběr nástroje",,,,"11:49 05/09/2022"
"editor_forceroom",,"Vynutit, aby aktuální místnost byla konkrétní",,,,"11:49 05/09/2022"
"mapdrag",,"Změnit velikost mapy",,,,"11:49 05/09/2022"
"mapdrag_detail",,"Přetáhněte pro změnu velikosti mapy",,,,"11:49 05/09/2022"
"mapfloordown",,"Jít o patro níže",,,,"11:49 05/09/2022"
"mapfloordown_detail",,"Přesunout zobrazení mapy o patro níže.",,,,"11:49 05/09/2022"
"mapfloorup",,"Jít o patro výše",,,,"11:49 05/09/2022"
"mapfloorup_detail",,"Přesunout zobrazení mapy o patro výše.",,,,"11:49 05/09/2022"
"openlocationasevidence",,"Otevřít složku aktuální lokace",,,,"11:49 05/09/2022"
"openlocationasevidence_detail",,"Otevřít složku obsahující informace o vaší aktuální lokaci.",,,,"11:49 05/09/2022"
"centreonplayer",,"Vycentrovat na hráče",,,,"11:49 05/09/2022"
"centreonplayer_detail",,"Vycentrovat mapu na vaši aktuální pozici.",,,,"11:49 05/09/2022"
"cash",,"Peníze",,,,"11:49 05/09/2022"
"cash_detail",,"Kolik máte peněz.",,,,"11:49 05/09/2022"
"togglearrow",,"Přepnout směrovou šipku",,,,"11:49 05/09/2022"
"togglearrow_detail",,"Přepnout směrovou šipku, kterou vidíte v první osobě a která vám ukazuje, kam jít. Vždy můžete stisknout a podržet tabulátor pro zobrazení mapy, když nejste na této obrazovce.",,,,"11:49 05/09/2022"
"accept job",,"Přijmout práci",,,,"11:49 05/09/2022"
"take item",,"Vzít předmět",,,,"11:49 05/09/2022"
"pinwindow",,"Připnout/Odepnout",,,,"11:49 05/09/2022"
"pinwindow_detail",,"Připnout/odepnout tuto položku důkazu k/z desky případu.",,,,"11:49 05/09/2022"
"openapartment",,"Otevřít složku bytu",,,,"11:49 05/09/2022"
"openapartment_detail",,"Otevřít složku obsahující informace o vašem bytě.",,,,"11:49 05/09/2022"
"stickynote",,"Nový lepící lístek",,,,"11:49 05/09/2022"
"sticknote_detail",,"Vytvořit lepící lístek k přidání na desku případu. Můžete na něj napsat cokoliv, co chcete.",,,,"11:49 05/09/2022"
"sync",,"Synchronizovat disky",,,,"11:49 05/09/2022"
"sync_detail",,"Synchronizační disky jsou DNA vylepšení, která můžete získat a vybavit pro získání dalších schopností.",,,,"11:49 05/09/2022"
"locate on map detail",,"Najít tuto lokaci na mapě...",,,,"11:49 05/09/2022"
"plot route detail",,"Naplánovat trasu k této lokaci...",,,,"11:49 05/09/2022"
"nocase",,"Vybrat Žádný případ",,,,"11:49 05/09/2022"
"nocase_detail",,"Zrušit výběr případu pro ukončení služby",,,,"11:49 05/09/2022"
"stickynote_detail",,"Vytvořit nový lepící lístek pro psaní vlastních poznámek.",,,,"11:49 05/09/2022"
"customcase",,"Nový vlastní případ",,,,"11:49 05/09/2022"
"customcase_detail",,"Vytvořit nový případ, kam můžete připnout informace dle vlastního výběru.",,,,"11:49 05/09/2022"
"closecase",,"Zavřít případ",,,,"11:49 05/09/2022"
"closecase_detail",,"Zavřít tento případ a odebrat z lišty případů.",,,,"11:49 05/09/2022"
"collapse",,"Přepnout sbalení",,,,"11:49 05/09/2022"
"collapse_detail",,"Minimalizovat nebo obnovit toto na desce případu.",,,,"11:49 05/09/2022"
"crossout",,"Přepnout přeškrtnutí",,,,"11:49 05/09/2022"
"crossout_detail",,"Přepnout symbol přeškrtnutí.",,,,"11:49 05/09/2022"
"link",,"Nové vlastní spojení",,,,"11:49 05/09/2022"
"link_detail",,"Vytvořit nové vlastní spojení k tomuto.",,,,"11:49 05/09/2022"
"contextmenu",,"Další možnosti",,,,"11:49 05/09/2022"
"contextmenu_detail",,"Zobrazit další možnosti...",,,,"11:49 05/09/2022"
"hideconnection",,"Přepnout skrytí spojení",,,,"11:49 05/09/2022"
"hideconnection_detail",,"Skrýt nebo zobrazit toto spojení s řetězcem.",,,,"11:49 05/09/2022"
"open phone number location",,"Otevřít lokaci telefonního čísla",,,,"11:49 05/09/2022"
"open phone number occupants",,"Otevřít osoby na telefonním čísle",,,,"11:49 05/09/2022"
"open phone number evidence",,"Otevřít důkazy telefonního čísla",,,,"11:49 05/09/2022"
"collecthandin",,"Vyžadován formulář k odevzdání",,,,"11:49 05/09/2022"
"collecthandin_detail",,"Shromáždit formulář k odevzdání pro tento případ, abyste viděli otázky, na které musíte odpovědět, abyste jej vyřešili.",,,,"11:49 05/09/2022"
"select from board",,"vybrat z desky",,,,"11:49 05/09/2022"
"incorrect answer",,"Nesprávná odpověď",,,,"11:49 05/09/2022"
"correct reveal",,"Správná odpověď(i)",,,,"11:49 05/09/2022"
"correct answer",,"správná odpověď",,,,"11:49 05/09/2022"
"resolvecase",,"Vyřešit případ",,,,"11:49 05/09/2022"
"resolvecase_detail",,"Odpovězte na tyto otázky, abyste vyřešili tento případ.",,,,"11:49 05/09/2022"
"socialrank",,"Sociální hodnost",,,,"11:49 05/09/2022"
"socialrank_detail",,"Toto se zvyšuje s získáváním více zkušeností. Dosažení maximální úrovně umožní odchod do důchodu.",,,,"11:49 05/09/2022"
"person",,"Osoba",,,,"11:49 05/09/2022"
"notebook",,"Zápisník",,,,"11:49 05/09/2022"
"notebook_detail",,"Obsahuje užitečnou nápovědu, vyhledávání, rychlé odkazy a dříve otevřené složky.",,,,"11:49 05/09/2022"
"lockpicks",,"Pákovače",,,,"11:49 05/09/2022"
"lockpicks_detail",,"Spotřební zdroj používaný k vypáčení zámků nebo sabotování bezpečnostního vybavení.",,,,"11:49 05/09/2022"
"person_detail",,"Zobrazuje váš inventář a aktuální stavy.",,,,"11:49 05/09/2022"
"locationonmap",,"Zobrazit na mapě",,,,"11:49 05/09/2022"
"locationonmap_detail",,"Ukázat na tuto lokaci na mapě...",,,,"11:49 05/09/2022"
"plotroute",,"Naplánovat trasu",,,,"11:49 05/09/2022"
"plotroute_detail",,"Naplánovat trasu k této lokaci, která využívá označenou cestu na mapě a směrovou šipku.",,,,"11:49 05/09/2022"
"social credit level",,"Úroveň sociálního kreditu",,,,"11:49 05/09/2022"
"drop this item",,"Pustit tuto položku",,,,"11:49 05/09/2022"
"scan this item for fingerprints",,"Naskenovat tuto položku na otisky prstů",,,,"11:49 05/09/2022"
"bring up this item's evidence folder",,"Zobrazit složku důkazů této položky",,,,"11:49 05/09/2022"
"edit the decor of your apartment",,"Upravit výzdobu vašeho bytu",,,,"11:49 05/09/2022"
"editor_designatrooms","LOC_IGNORE","Označit místnosti",,,,"12:52 06/12/2022"
"worldinteraction",,"Pokud je tato ikona přítomna, znamená to, že s touto položkou interagujete přímo (ve světě), na rozdíl od interakce z paměti (připnuto na desce případu). Při přímé interakci s ní vám mohou být k dispozici další akce.",,,,"11:26 02/01/2023"
"takeitem",,"Vzít tuto položku",,,,"11:52 02/01/2023"
"cleartext",,"Přepínat mezi ručně psaným a jasným zobrazením textu.",,,,"12:36 02/01/2023"
"toggle chairs display",,"Přepnout zobrazení židlí",,,,"11:30 15/02/2023"
"toggle tables display",,"Přepnout zobrazení stolů",,,,"11:30 15/02/2023"
"toggle sideboards display",,"Přepnout zobrazení příborníků",,,,"11:30 15/02/2023"
"toggle electronics display",,"Přepnout zobrazení elektroniky",,,,"11:30 15/02/2023"
"toggle structural display",,"Přepnout zobrazení struktury",,,,"11:30 15/02/2023"
"toggle decoration display",,"Přepnout zobrazení dekorací",,,,"11:30 15/02/2023"
"toggle misc display",,"Přepnout zobrazení ostatních",,,,"11:30 15/02/2023"
"move to storage",,"Přesunout do úložiště",,,,"11:30 15/02/2023"
"move this item into storage",,"Přesunout tuto položku do úložiště",,,,"11:30 15/02/2023"
"toggle consumable display",,"Přepnout zobrazení spotřebního materiálu",,,,"16:39 21/02/2023"
"toggle medical display",,"Přepnout zobrazení zdravotnického materiálu",,,,"16:39 21/02/2023"
"toggle equipment display",,"Přepnout zobrazení vybavení",,,,"16:39 21/02/2023"
"toggle documents display",,"Přepnout zobrazení dokumentů",,,,"16:39 21/02/2023"
"toggle light fittings display",,"Přepnout zobrazení svítidel",,,,"16:39 21/02/2023"
"cancelroute_detail",,"Zrušit aktuální naplánovanou trasu",,,,"16:36 01/02/2024"
"autotravel",,"Přepnout automatické cestování",,,,"16:36 01/02/2024"
"autotravel_detail",,"Když je zapnuto automatické cestování, vaše postava se bude automaticky pohybovat k naplánovanému cíli.",,,,"16:36 01/02/2024"
"autotravelenable",,"Naplánovat trasu a povolit automatické cestování",,,,"12:12 06/02/2024"
"fasttravelenable",,"Naplánovat trasu a povolit rychlé cestování",,,,"12:12 06/02/2024"
"fasttravel_detail",,"Když je zapnuto automatické cestování, vaše postava se bude automaticky pohybovat k naplánovanému cíli. S rychlým cestováním se čas zrychlí, aby se to stalo rychleji.",,,,"12:12 06/02/2024"
