"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"a","LOC_IGNORE","a",,,,"11:49 05/09/2022"
"b","LOC_IGNORE","b",,,,"11:49 05/09/2022"
"c","LOC_IGNORE","c",,,,"11:49 05/09/2022"
"d","LOC_IGNORE","d",,,,"11:49 05/09/2022"
"e","LOC_IGNORE","e",,,,"11:49 05/09/2022"
"f","LOC_IGNORE","f",,,,"11:49 05/09/2022"
"g","LOC_IGNORE","g",,,,"11:49 05/09/2022"
"h","LOC_IGNORE","h",,,,"11:49 05/09/2022"
"i","LOC_IGNORE","i",,,,"11:49 05/09/2022"
"j","LOC_IGNORE","j",,,,"11:49 05/09/2022"
"k","LOC_IGNORE","k",,,,"11:49 05/09/2022"
"l","LOC_IGNORE","l",,,,"11:49 05/09/2022"
"m","LOC_IGNORE","m",,,,"11:49 05/09/2022"
"n","LOC_IGNORE","n",,,,"11:49 05/09/2022"
"o","LOC_IGNORE","o",,,,"11:49 05/09/2022"
"p","LOC_IGNORE","p",,,,"11:49 05/09/2022"
"q","LOC_IGNORE","q",,,,"11:49 05/09/2022"
"r","LOC_IGNORE","r",,,,"11:49 05/09/2022"
"s","LOC_IGNORE","s",,,,"11:49 05/09/2022"
"t","LOC_IGNORE","t",,,,"11:49 05/09/2022"
"u","LOC_IGNORE","u",,,,"14:56 31/10/2022"
"v","LOC_IGNORE","v",,,,"14:56 31/10/2022"
"x","LOC_IGNORE","x",,,,"11:57 07/03/2023"
"y","LOC_IGNORE","y",,,,"11:57 07/03/2023"
"z","LOC_IGNORE","z",,,,"11:57 07/03/2023"
1,"LOC_IGNORE",1,,,,"14:56 31/10/2022"
2,"LOC_IGNORE",2,,,,"14:56 31/10/2022"
3,"LOC_IGNORE",3,,,,"14:56 31/10/2022"
4,"LOC_IGNORE",4,,,,"15:36 02/11/2022"
5,"LOC_IGNORE",5,,,,"11:57 07/03/2023"
6,"LOC_IGNORE",6,,,,"11:57 07/03/2023"
7,"LOC_IGNORE",7,,,,"11:57 07/03/2023"
8,"LOC_IGNORE",8,,,,"11:57 07/03/2023"
9,"LOC_IGNORE",9,,,,"11:57 07/03/2023"
0,"LOC_IGNORE",0,,,,"11:57 07/03/2023"
"submit","LOC_IGNORE","Odeslat",,,,"11:57 07/03/2023"
"caps","LOC_IGNORE","Caps",,,,"11:57 07/03/2023"
"left",,"Vlevo",,,,"11:57 07/03/2023"
"right",,"Vpravo",,,,"11:57 07/03/2023"
"Alphanumeric",,"Alfanumerické",,,,"11:57 07/03/2023"
"left mouse button",,"Levé tlačítko myši",,,,"15:53 01/05/2024"
"right mouse button",,"Pravé tlačítko myši",,,,"15:53 01/05/2024"
"mouse button 3",,"Tlačítko myši 3",,,,"15:53 01/05/2024"
"up arrow",,"Šipka nahoru",,,,"15:53 01/05/2024"
"down arrow",,"Šipka dolů",,,,"15:53 01/05/2024"
"left arrow",,"Šipka vlevo",,,,"15:53 01/05/2024"
"right arrow",,"Šipka vpravo",,,,"15:53 01/05/2024"
"mouse wheel",,"Kolečko myši",,,,"15:53 01/05/2024"
"mouse button 4",,"Tlačítko myši 4",,,,"15:53 01/05/2024"
"mouse button 5",,"Tlačítko myši 5",,,,"15:53 01/05/2024"
"return",,"Enter",,,,"16:47 01/05/2024"
