"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"boottext","LOC_IGNORE","B>Access>SpeedBootLoader[Alpha5.49]\nRegisterShortcut[SpeedBootLoader]=SBL>crunch\nComplete\n\nSBL.VerifyTarget[SignetOS>System>Access>BootOS]\nTargetVerified!\nSBL>LoadBootTools[0451]>crunch\nSuccessfulReference!\n\nSBL>ReadProgress>crunch\n\nVítejte v Indigo Systems Signet OS...\nProsím, zkontrolujte uživatelskou příručku pro detailní postup načítání\nNačítám přihlašovací aplikaci...\n...20%\n...40%\n...60%\n...80%\n...100%",,,,"11:49 05/09/2022"
"bootstart",,"Inicializace spouštěcí sekvence",,,,"11:49 05/09/2022"
"vmail",,"Hlasová schránka",,,,"11:49 05/09/2022"
"re:",,"RE:",,,,"11:49 05/09/2022"
"you",,"Vy",,,,"11:49 05/09/2022"
"re",,"RE",,,,"11:49 05/09/2022"
"to",,"Komu",,,,"11:49 05/09/2022"
"from",,"Od",,,,"11:49 05/09/2022"
"surveillance",,"Dohled",,,,"11:49 05/09/2022"
"print",,"Tisk",,,,"11:49 05/09/2022"
"cam",,"Kamera",,,,"11:49 05/09/2022"
"sentry",,"Hlídka",,,,"11:49 05/09/2022"
"on",,"Zapnuto",,,,"11:49 05/09/2022"
"off",,"Vypnuto",,,,"11:49 05/09/2022"
"sabotage",,"Sabotáž",,,,"11:49 05/09/2022"
"noreplyvmail",,"<Neznámý>",,,,"11:49 05/09/2022"
"pestcontrol",,"Hubení škůdců",,,,"11:49 05/09/2022"
"flairquotes",,"Ozdobné citáty",,,,"11:49 05/09/2022"
"randomspamvmail",,"<Bez odpovědi>",,,,"11:49 05/09/2022"
"corpkaizen",,"Kaizen6",,,,"11:49 05/09/2022"
"login",,"Odhlásit se",,,,"11:49 05/09/2022"
"bookgrubs",,"Knižní červi",,,,"11:49 05/09/2022"
"corpelgen",,"El-Gen",,,,"11:49 05/09/2022"
"corpstarch",,"Starch Kola",,,,"11:49 05/09/2022"
"corpdove",,"V-Love",,,,"11:49 05/09/2022"
"corpindigo",,"Kensington Indigo",,,,"11:49 05/09/2022"
"corpcandor",,"Candor",,,,"11:49 05/09/2022"
"profile",,"Profil",,,,"11:49 05/09/2022"
"database",,"Databáze",,,,"11:49 05/09/2022"
"database search",,"Vyhledávání v databázi",,,,"11:49 05/09/2022"
"employeedatabase",,"Databáze zaměstnanců",,,,"11:49 05/09/2022"
"govdatabase",,"Vládní databáze",,,,"11:49 05/09/2022"
"resdientsdatabase",,"Databáze obyvatel",,,,"11:49 05/09/2022"
"security",,"Zabezpečení",,,,"11:49 05/09/2022"
"security systems",,"Bezpečnostní systémy",,,,"11:49 05/09/2022"
"illegalactivities",,"Nezákonné aktivity",,,,"11:49 05/09/2022"
"nobody",,"nikdo",,,,"11:49 05/09/2022"
"everybody",,"všichni",,,,"11:49 05/09/2022"
"nonresidents",,"Nerezidenti",,,,"11:49 05/09/2022"
"notplayer",,"Ne hráč",,,,"11:49 05/09/2022"
"yesterday",,"Včera",,,,"11:49 05/09/2022"
"today",,"Dnes",,,,"11:49 05/09/2022"
"salesrecords",,"Záznamy prodeje",,,,"11:49 05/09/2022"
"displaying page",,"Zobrazuje stránku",,,,"11:49 05/09/2022"
"vacuum mail",,"Vyprázdnit poštu",,,,"13:11 07/09/2022"
"exit",,"Konec",,,,"13:11 07/09/2022"
"employee database",,"Databáze zaměstnanců",,,,"13:11 07/09/2022"
"corpkeylog v7",,"CorpKeyLog V7",,,,"13:11 07/09/2022"
"save to tape",,"Uložit na pásku",,,,"13:12 07/09/2022"
"sales records",,"Záznamy prodeje",,,,"13:13 07/09/2022"
"select user",,"Vybrat uživatele",,,,"15:30 30/09/2022"
"enter passcode",,"Zadejte heslo",,,,"15:30 30/09/2022"
"system profile",,"Systémový profil",,,,"14:13 12/10/2022"
"ǉ",,"Ǉ",,,,"17:09 16/12/2022"
"unknown",,"Neznámý",,,,"15:25 19/01/2023"
"citizens database",,"Databáze občanů",,,,"12:34 14/11/2023"
"wizcards",,"Wizkarty",,,,"12:01 05/03/2025"
"deck",,"Balíček",,,,"12:01 05/03/2025"
"play",,"Hrát",,,,"12:01 05/03/2025"
"concede",,"Vzdat se",,,,"12:01 05/03/2025"
"end turn",,"Ukončit tah",,,,"12:01 05/03/2025"
"if your mana crystal gets destroyed you lose the game.",,"Pokud se váš Mana krystal zničí, prohrajete hru.",,,,"12:01 05/03/2025"
"victory!",,"Vítězství!",,,,"12:01 05/03/2025"
"defeat...",,"Porážka...",,,,"12:01 05/03/2025"
"draw..?",,"Remíza..?",,,,"12:01 05/03/2025"
"click a card then click a space to summon it.",,"Klikněte na kartu a poté na pole pro vyvolání.",,,,"12:15 05/03/2025"
"arrow",,"Fííí!\nÚtočí a pohybuje se pouze ve směru, kterým je otočena.",,,,"12:15 05/03/2025"
"barracks",,"Lidé zde mohou cvičit a hromadit zbraně.\nSousední lidé získávají +3 útok.",,,,"12:15 05/03/2025"
"beefy brute",,"Před bitvou vždy sní divnou houbu.",,,,"12:15 05/03/2025"
"big slime",,"Nedotýkejte se ho! Nasaje vás rychleji než tekuté písky.\nKaždý tah vyvolá dva malé slizy vedle sebe.",,,,"12:15 05/03/2025"
"blight",,"Vytvořeno z hnijícího mechu, sněť se obvykle skrývá před lidmi v lesích. Dávejte si pozor na její odporný zápach.",,,,"12:15 05/03/2025"
"centurion",,"Bojovník s kopím oděný v bronzi.\nÚtočí na dvě pole v každém směru.",,,,"12:15 05/03/2025"
"charging minotaur",,"Osvobozen ze svého bludiště, je stejně zuřivý jako kdykoli předtím!\nMůže se pohybovat o jedno pole diagonálně.",,,,"12:15 05/03/2025"
"chosen shinobi",,"Dokáže vytáhnout meč rychleji než kovboj s rychlým tahem.\nMůže se pohybovat o jedno pole diagonálně.",,,,"12:15 05/03/2025"
"crazy goblin",,"Šílené stvoření, které neustále hledá zlato.\nMůže se pohybovat diagonálně a dvě pole v každém směru.",,,,"12:15 05/03/2025"
"devious thief",,"Po setkání s ním si vždy zkontrolujte kapsy.\nMůže se pohybovat diagonálně a dvě pole v každém směru. Každý tah vyvolá tlustou krysu napravo od sebe.",,,,"12:15 05/03/2025"
"druid",,"Přítel lesa.\nDává sousedním zvířatům +4 HP.",,,,"12:15 05/03/2025"
"fat rat",,"Opravdu má rád sýr.",,,,"12:15 05/03/2025"
"ferocious hawk",,"Krá!\nMůže létat diagonálně a dvě pole v každém směru.",,,,"12:15 05/03/2025"
"giant arachnid",,"Jejich kousnutí je smrtelné, ale stačí je zašlápnout, aby se zastavily. Nebo velmi velký novin.\nMůže se pohybovat pouze diagonálně.",,,,"12:15 05/03/2025"
"girl by the pond",,"Rybníky jsou bohaté na Manu. Správný akolyta ji dokáže projevit.\nZdvojnásobuje vaši manu každý tah.",,,,"12:15 05/03/2025"
"humble golem",,"Chce jen chránit les.\nDává sousedním zvířatům +2 zdraví každý tah.",,,,"12:15 05/03/2025"
"hungry mimic",,"Má hlad po zlatě!\nNepohybuje se.",,,,"12:15 05/03/2025"
"kobold",,"Goblin s velkým nosem, který rád přebývá v jeskyních a těží krásné kovy.",,,,"12:15 05/03/2025"
"lil' wizard",,"Je v pohodě.\n+5 many za tah.",,,,"12:15 05/03/2025"
"mad scientist",,"Modlíte se, abyste nikdy nezkusili jeden z jeho lektvarů...\nDává monstrům před sebou +10 útoku a +2 zdraví každý tah.",,,,"12:15 05/03/2025"
"magic academy",,"Není to kouzelnická škola. Je to Magická akademie. Jasný rozdíl.\nDává sousedním mágům +5 útoku každý tah.",,,,"12:15 05/03/2025"
"magic apprentice",,"Vždycky se hrabe v knihách.\n+2 Mana za tah.",,,,"12:15 05/03/2025"
"majestic king",,"Vládce všech království.\nZdvojnásobuje útok sousedních lidí každý tah.",,,,"12:15 05/03/2025"
"mana crystal",,"Pokud se váš Mana krystal zničí, prohrajete hru.",,,,"12:15 05/03/2025"
"mighty dragon",,"Tato bestie se vznáší oblohou a dokáže zničit nenabuffovaný mana krystal během jednoho tahu.\nPohybuje se v okruhu dvou polí.",,,,"12:15 05/03/2025"
"noble knight",,"Vytrénovaný a loajální rytíř.",,,,"12:15 05/03/2025"
"precious priest",,"Dává pozor na své druhy.\nDává sousedním spojeneckým lidem +5 zdraví každý tah.",,,,"12:15 05/03/2025"
"risen skeleton",,"Nekromant dal tomuto válečníkovi druhou šanci, ale už to není on sám.\nPohybuje se pouze diagonálně.",,,,"12:15 05/03/2025"
"small slime",,"Jsou trochu roztomilé, ale přesto se doporučuje udržovat odstup.",,,,"12:15 05/03/2025"
"sneaky archer",,"Nikdy ho neuvidíte přicházet.\nPo každém tahu vystřelí před sebe šíp 4/1.",,,,"12:15 05/03/2025"
"spirit of the forest",,"Málokdo má to štěstí ho spatřit.\nZdvojnásobuje horizontálně sousedním zvířatům zdraví.",,,,"12:15 05/03/2025"
"taraxippus",,"Tento duch je prý padlá klisna, která plaší cválající koně v jejich blízkosti.\nPohybuje se v okruhu dvou polí.",,,,"12:15 05/03/2025"
"vagabond nomad",,"Cestuje pouští, ve dne i v noci.\nPohybuje se v okruhu dvou polí.",,,,"12:15 05/03/2025"
"werewolf",,"Grrr...\nTato karta vyvolá vlka dvě pole diagonálně dopředu každý tah.",,,,"12:15 05/03/2025"
"wizards tower",,"Ze shora slyšíš zvláštní zvuky...\n+5 many za tah.",,,,"12:15 05/03/2025"
"wolf",,"Aúúú!\nÚtočí diagonálně.",,,,"12:15 05/03/2025"
