"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"lobby",,"Lobby",,1,,"11:34 19/10/2022"
"retailinformal",,"Obchod",,1,,"11:34 19/10/2022"
"privateoffice",,"Soukromá kancelář",,1,,"11:34 19/10/2022"
"kitchen",,"Kuchyně",,1,,"11:34 19/10/2022"
"bathroom",,"Koupelna",,1,,"11:34 19/10/2022"
"officespace",,"Kancelář",,1,,"11:34 19/10/2022"
"reception",,"Recepce",,1,,"11:34 19/10/2022"
"livingroom",,"Obývací pokoj",,1,,"11:34 19/10/2022"
"hallway",,"Chodba",,1,,"11:34 19/10/2022"
"bedroom",,"Ložnice",,1,,"11:34 19/10/2022"
"cupboard",,"Skříň",,1,,"11:34 19/10/2022"
"study",,"Pracovna",,1,,"11:34 19/10/2022"
"utility",,"Technická místnost",,1,,"11:34 19/10/2022"
"showerroom",,"Sprcha",,1,,"11:34 19/10/2022"
"diningroom",,"Jídelna",,1,,"11:34 19/10/2022"
"backstreet",,"Zadní ulice",,1,,"11:34 19/10/2022"
"storeroom",,"Sklad",,1,,"11:34 19/10/2022"
"yard",,"Dvůr",,1,,"11:34 19/10/2022"
"diner",,"Jídelna",,1,,"11:34 19/10/2022"
"bar",,"Bar",,1,,"11:34 19/10/2022"
"industrial",,"Průmyslová zóna",,,,"11:34 19/10/2022"
"apartmentmasterbedroom",,"Ložnice",,,,"11:34 19/10/2022"
"apartmentkitchen",,"Kuchyně",,,,"11:34 19/10/2022"
"apartmentlivingroom",,"Obývací pokoj",,,,"11:34 19/10/2022"
"apartmentbathroom",,"Koupelna",,,,"11:34 19/10/2022"
"apartmentcloset",,"Šatna",,,,"11:34 19/10/2022"
"eaterydiningroom",,"Bar",,,,"11:34 19/10/2022"
"eaterykitchen",,"Kuchyně",,,,"11:34 19/10/2022"
"apartmentshowerroom",,"Sprcha",,,,"11:34 19/10/2022"
"apartmentstudy",,"Pracovna",,,,"11:34 19/10/2022"
"street",,"Ulice",,,,"11:34 19/10/2022"
"informal",,"Neformální",,,,"11:34 19/10/2022"
"null","LOC_IGNORE","Nulový",,,,"11:34 19/10/2022"
"atrium",,"Atrium",,,,"11:34 19/10/2022"
"rooftop",,"Střecha",,,,"11:34 19/10/2022"
"controlroom",,"Kontrolní místnost",,,,"11:34 19/10/2022"
"park",,"Park",,,,"11:34 19/10/2022"
"path",,"Cesta",,,,"11:34 19/10/2022"
"businessbackroom",,"Zadní místnost",,,,"11:34 19/10/2022"
"americandiner",,"Jídelna",,,,"11:34 19/10/2022"
"breakroom",,"Odpočívárna",,,,"11:34 19/10/2022"
"bathroomunisex",,"Koupelna",,,,"11:34 19/10/2022"
"office",,"Kancelář",,,,"11:34 19/10/2022"
"alley",,"Ulička",,,,"11:34 19/10/2022"
"bathroommale",,"Koupelna",,,,"11:34 19/10/2022"
"workplacecanteen",,"Kantýna",,,,"11:34 19/10/2022"
"industrialfloor",,"Průmyslová podlaha",,,,"11:34 19/10/2022"
"businessstoreroom",,"Sklad",,,,"11:34 19/10/2022"
"launderette",,"Prádelna",,,,"11:34 19/10/2022"
"bathroomfemale",,"Koupelna",,,,"11:34 19/10/2022"
"housefrontage",,"Ulice",,,,"11:34 19/10/2022"
"corporatelobby",,"Lobby",,,,"11:34 19/10/2022"
"corporatecorridoor",,"Chodba",,,,"11:34 19/10/2022"
"utilitycupboardcommon",,"Technická skříň",,,,"11:34 19/10/2022"
"industrialstoreroom",,"Sklad",,,,"11:34 19/10/2022"
"industrialoffice",,"Průmyslová kancelář",,,,"11:34 19/10/2022"
"buildingbathroommale",,"Koupelna",,,,"11:34 19/10/2022"
"buildingbathroomfemale",,"Koupelna",,,,"11:34 19/10/2022"
"powerroom",,"Elektrárna",,,,"11:34 19/10/2022"
"rooftopvent",,"Větrák na střeše",,,,"11:34 19/10/2022"
"apartmentsecondbedroom",,"Ložnice",,,,"11:34 19/10/2022"
"apartmentthirdbedroom",,"Ložnice",,,,"11:34 19/10/2022"
"apartmentutilityroom",,"Technická místnost",,,,"11:34 19/10/2022"
"apartmentreceptionroom",,"Recepce",,,,"11:34 19/10/2022"
"bathroomemployees",,"Koupelna",,,,"11:34 19/10/2022"
"bathroomunisexeatery",,"Koupelna",,,,"11:34 19/10/2022"
"utilitycupboardrare",,"Technická skříň",,,,"11:34 19/10/2022"
"apartmentdiningroom",,"Jídelna",,,,"11:34 19/10/2022"
"streetfrontage",,"Chodník u ulice",,,,"11:34 14/12/2022"
"syncclinic",,"Sync klinika",,,,"11:34 19/10/2022"
"pawnshop",,"Zastavárna",,,,"11:34 19/10/2022"
"supermarket",,"Supermarket",,,,"11:34 19/10/2022"
"enforceroffice",,"Kancelář strážníků",,,,"11:34 19/10/2022"
"asiandiningroom",,"Asijská jídelna",,,,"11:34 19/10/2022"
"hospitalward",,"Nemocniční oddělení",,,,"11:34 19/10/2022"
"bardiningroom",,"Bar",,,,"11:34 19/10/2022"
"apartment",,"Apartmán",,,,"11:34 19/10/2022"
"mediumoffice",,"Kancelář",,,,"11:34 19/10/2022"
"floor_-2",,"2. podzemní podlaží",,,,"11:34 19/10/2022"
"floor_-1",,"1. podzemní podlaží",,,,"11:34 19/10/2022"
"floor_0",,"Přízemí",,,,"11:34 19/10/2022"
"floor_1",,"1. patro",,,,"11:34 19/10/2022"
"floor_2",,"2. patro",,,,"11:34 19/10/2022"
"floor_3",,"3. patro",,,,"11:34 19/10/2022"
"floor_4",,"4. patro",,,,"11:34 19/10/2022"
"floor_5",,"5. patro",,,,"11:34 19/10/2022"
"floor_6",,"6. patro",,,,"11:34 19/10/2022"
"floor_7",,"7. patro",,,,"11:34 19/10/2022"
"floor_8",,"8. patro",,,,"11:34 19/10/2022"
"floor_9",,"9. patro",,,,"11:34 19/10/2022"
"floor_10",,"10. patro",,,,"11:34 19/10/2022"
"floor_11",,"11. patro",,,,"11:34 19/10/2022"
"floor_12",,"12. patro",,,,"11:34 19/10/2022"
"floor_13",,"13. patro",,,,"11:34 19/10/2022"
"floor_14",,"14. patro",,,,"11:34 19/10/2022"
"floor_15",,"15. patro",,,,"11:34 19/10/2022"
"floor_16",,"16. patro",,,,"11:34 19/10/2022"
"floor_17",,"17. patro",,,,"11:34 19/10/2022"
"floor_18",,"18. patro",,,,"11:34 19/10/2022"
"floor_19",,"19. patro",,,,"11:34 19/10/2022"
"floor_20",,"20. patro",,,,"11:34 19/10/2022"
"studio",,"Studio",,,,"11:34 19/10/2022"
"bedrooms",,"Ložnice",,,,"11:34 19/10/2022"
"weaponsdealer",,"Prodejce zbraní",,,,"11:34 19/10/2022"
"industrialplant",,"Průmyslový závod",,,,"11:34 19/10/2022"
"basementgenericden",,"Neznámý",,,,"11:34 19/10/2022"
"basementgenericbathroom",,"Koupelna",,,,"11:34 19/10/2022"
"ballroom",,"Taneční sál",,,,"11:34 19/10/2022"
"blackmarketsyncclinic",,"Černý trh Sync Clinic",,,,"11:34 19/10/2022"
"gamblingden",,"Herní doupě",,,,"11:34 19/10/2022"
"loanshark",,"Půjčovna",,,,"11:34 19/10/2022"
"blackmarkettrader",,"Obchodník na černém trhu",,,,"11:34 19/10/2022"
"slummainroom",,"Obývací pokoj ve slumu Fathoms",,,,"11:34 19/10/2022"
"slumbathroom",,"Koupelna ve slumu Fathoms",,,,"11:34 19/10/2022"
"highriseoffice",,"Kancelář ve výškové budově",,,,"11:34 19/10/2022"
"slum",,"Slum Fathoms",,,,"11:34 19/10/2022"
"emptyden",,"Neznámý",,,,"11:34 19/10/2022"
"basementlobby",,"Suterénní chodba",,,,"11:34 19/10/2022"
"basement",,"Suterén",,,,"11:34 19/10/2022"
"outside",,"Venku",,,,"11:34 19/10/2022"
"buildingbathrooms",,"Veřejné toalety",,,,"11:34 19/10/2022"
"ventedrooftop",,"Střecha",,,,"11:34 19/10/2022"
"industriallobby",,"Průmyslová lobby",,,,"11:34 19/10/2022"
"den",,"Volná adresa",,,,"11:34 01/05/2024"
"fastfooddiningroom",,"Fast food restaurace",,,,"11:34 19/10/2022"
"chemist",,"Lékárna",,,,"11:34 19/10/2022"
"hardwarestore",,"Železářství",,,,"11:34 19/10/2022"
"fastfood",,"Fast food restaurace",,,,"11:34 19/10/2022"
"chineseeatery",,"Asijská restaurace",,,,"11:34 19/10/2022"
"cityhalllobby",,"Radnice",,,,"11:34 19/10/2022"
"onefifthave",,"Bytový dům",,,,"11:34 19/10/2022"
"brandynetherland",,"Bytový dům",,,,"11:34 19/10/2022"
"chemicalplant",,"Chemická továrna",,,,"11:34 19/10/2022"
"townhouse",,"Městský dům",,,,"11:34 19/10/2022"
"townhouseshops",,"Městský dům",,,,"11:34 19/10/2022"
"cityhall",,"Radnice",,,,"11:34 19/10/2022"
"edentower",,"Komerční věž",,,,"11:34 19/10/2022"
"boundarycoastal01",,"Promenáda",,,,"11:34 19/10/2022"
"boundarycoastal02",,"Promenáda",,,,"11:34 19/10/2022"
"boundarycorner01",,"Promenáda",,,,"11:34 19/10/2022"
"hotel",,"Hotel",,,,"11:34 19/10/2022"
"eatery",,"Jídelna",,,,"12:09 27/06/2023"
"retail",,"Maloobchod",,,,"12:09 27/06/2023"
"hotellobby",,"Hotelová lobby",,,,"17:01 26/07/2023"
"hotelroom",,"Hotelový pokoj",,,,"17:01 26/07/2023"
"rooftopbar",,"Střešní bar",,,,"15:06 27/07/2023"
"buildingbathroomsabandoned",,"Koupelny",,,,"15:38 30/08/2023"
"fathomsyard",,"Fathoms dvůr",,,,"15:34 19/04/2024"
"fathomslobby",,"Fathoms lobby",,,,"15:34 19/04/2024"
"laboratory",,"Laboratoř",,,,"15:34 19/04/2024"
"industrialplantfloor",,"Podlaží průmyslového závodu",,,,"14:06 21/04/2024"
"mixedindustrial",,"Smíšený průmysl",,,,"12:47 22/04/2024"
"shantytown",,"Fathoms",,,,"12:47 22/04/2024"
