"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"turn on the bedside light",,"Zapněte noční lampičku",,,,"11:49 05/09/2022"
"turn on the light switch in the lounge",,"Zapněte vypínač světla v obývacím pokoji",,,,"11:49 05/09/2022"
"turn on the light switch in the kitchen",,"Zapněte vypínač světla v kuchyni",,,,"11:49 05/09/2022"
"search the apartment for clues",,"Prohledejte byt a najděte stopy",,,,"11:49 05/09/2022"
"check the front door",,"Pod předními dveřmi je vzkaz...",,,,"11:49 28/10/2022"
"look up |notewritername| in your city directory",,"Vyhledejte |story.kidnapper.name| ve svém městském adresáři",,,,"11:49 05/09/2022"
"go to |notewriteraddress|",,"Jděte na |story.kidnapper.home.name|",,,,"11:49 05/09/2022"
"don't forget the key to your apartment",,"Nezapomeňte si klíč od svého bytu",,,,"11:49 05/09/2022"
"try the door",,"Zkuste dveře",,,,"11:49 05/09/2022"
"find a way inside...",,"Najděte cestu dovnitř...",,,,"11:49 05/09/2022"
"option 1: pick the lock",,"Možnost 1: Vypáčte zámek",,,,"11:49 05/09/2022"
"option 2: find a ventilation duct",,"Možnost 2: Najděte ventilační šachtu",,,,"11:49 05/09/2022"
"investigate the property",,"Prozkoumejte nemovitost",,,,"11:49 05/09/2022"
"search for clues",,"Hledejte stopy & připněte je na svou nástěnku případu",,,,"11:49 05/09/2022"
"find a hiding place!",,"Najděte si úkryt!",,,,"11:49 05/09/2022"
"escape the apartment",,"Utečte z budovy",,,,"11:49 05/09/2022"
"escape the building",,"Utečte z budovy",,,,"11:49 05/09/2022"
"investigate your leads...",,"Prozkoumejte své stopy...",,,,"11:49 05/09/2022"
"answer the telephone",,"Zvedněte telefon",,,,"11:49 05/09/2022"
"pin the note to your case board",,"Připněte vzkaz na svou nástěnku případu pomocí červeného špendlíku",,,,"11:49 05/09/2022"
"inspect the city directory",,"Prohlédněte si městský adresář",,,,"11:49 05/09/2022"
"pin |notewriteraddress| to your case board",,"Připněte |story.kidnapper.home.name| na svou nástěnku případu",,,,"11:49 05/09/2022"
"plot a route to |notewriteraddress| on your map",,"Naplánujte trasu na |story.kidnapper.home.name| pomocí tlačítka v okně s důkazy adresy",,,,"11:18 01/11/2022"
"close the case board by pressing space",,"Zavřete nástěnku případu pomocí |controls.caseboard|",,,,"11:49 05/10/2022"
"unlock the door to your apartment",,"Odemkněte dveře do svého bytu interakcí s klikou",,,,"11:49 05/09/2022"
"knock on the door",,"Zaklepejte na dveře",,,,"11:49 05/09/2022"
"knock on the door again",,"Znovu zaklepejte na dveře",,,,"11:49 05/09/2022"
"identify the body",,"Identifikujte tělo nalezením průkazu s fotografií (zkuste se porozhlédnout)",,,,"11:50 27/10/2022"
"find a hiding place! under the bed might work.",,"Najděte si úkryt. Pod postelí by to mohlo fungovat.",,,,"11:49 05/09/2022"
"access the backroom",,"Vstupte do zadní místnosti",,,,"11:49 05/09/2022"
"look for the entry matching what you found in |notewriterfirstname|'s apartment",,"Hledejte záznam odpovídající tomu, co jste našli v bytě |story.kidnapper.firstname|",,,,"11:49 05/09/2022"
"look for evidence on |notewriterfirstname|'s desk",,"Hledejte důkazy na stole |story.kidnapper.name|",,,,"11:50 05/09/2022"
"look for evidence on |kidnapperfirstname|'s desk",,"Hledejte důkazy na stole |story.notewriter.name|",,,,"11:50 05/09/2022"
"look up |kidnappername| in a city directory",,"Vyhledejte |story.kidnapper.name| v městském adresáři",,,,"11:50 05/09/2022"
"investigate |kidnapperaddress|",,"Prozkoumejte |story.kidnapper.home.name|",,,,"11:50 05/09/2022"
"writerscalendar",,"Sejděte se s |story.kidnapper.casualname| v |story.restaurant.name|. |story.meettime.time|",,,,"11:50 05/09/2022"
"kidnappercalendar",,"Sejděte se s |story.notewriter.casualname| v |story.restaurant.name|? Buďte opatrní na to, co říkáte!",,,,"11:50 05/09/2022"
"option 3: barge the door open",,"Možnost 3: Vrazte dveře",,,,"11:50 05/09/2022"
"find time of death",,"Zjistěte čas úmrtí analýzou mrtvoly",,,,"11:50 05/09/2022"
"find cause of death",,"Zjistěte příčinu smrti",,,,"11:50 05/09/2022"
"search for clues around the crime scene",,"Hledejte stopy kolem místa činu",,,,"11:50 05/09/2022"
"scan for fingerprints",,"Vyberte svůj skener otisků prstů z inventáře (|controls.weaponselect|), skenujte otisky na čemkoli, čeho se pachatel mohl dotknout, a prohlédněte si je",,,,"11:50 30/01/2023"
"search for clues at the crime scene",,"Hledejte stopy na místě činu",,,,"11:50 05/09/2022"
"this is from |restaurant|.",,"Toto je z |restaurant|",,,,"11:50 05/09/2022"
"access the cruncher",,"Přistupte k počítači, heslo bude stejné jako kód ke dveřím.",,,,"11:50 27/10/2022"
"access the back office",,"Vstupte do zadní kanceláře v |story.restaurant.name|",,,,"11:50 05/09/2022"
"look for surveillance entries from around |meettime|",,"Hledejte |story.kidnapper.firstname| v záznamech sledování kolem |story.meettime.time| |story.meettime.day| v |story.restaurant.name|",,,,"11:40 20/04/2023"
"access |notewriterfirstname|'s cruncher",,"Přistupte k počítači |story.kidnapper.name| v |story.workplace.name|",,,,"11:50 27/10/2022"
"complete the hand in form",,"Vyplňte otázky ve formuláři pro odevzdání případu",,,,"11:50 05/09/2022"
"print surveillance, open the evidence window to the mystery person",,"Vytiskněte záznam sledování, otevřete okno důkazů k záhadné osobě",,,,"11:50 05/09/2022"
"get victim's prints",,"Získejte otisky oběti",,,,"11:50 05/09/2022"
"print any relevent vmail threads",,"Vytiskněte všechny relevantní V-mailové konverzace",,,,"11:50 05/09/2022"
"turned on lights",,"Světla zapnuta",,,,"11:50 05/09/2022"
"pick up fingerprint scanner",,"Zvedněte skener otisků prstů",,,,"11:50 05/09/2022"
"pick up handcuffs",,"Zvedněte pouta",,,,"11:50 05/09/2022"
"pick up equipment",,"Zvedněte vybavení tak, že nejprve otevřete horní část krabice",,,,"11:50 27/10/2022"
"sometimes it's useful to search the trash!",,"Někdy je užitečné prohledat odpadky!",,,,"11:50 05/09/2022"
"check for recent calls",,"Zkontrolujte nedávné hovory vytočením 541-0000",,,,"11:50 05/09/2022"
"i can use the building's telephone router to find out who called this number",,"Můžu použít telefonní router budovy k zjištění, kdo volal na toto číslo",,,,"11:50 05/09/2022"
"use handcuffs to arrest the killer, then call enforcers using a telephone",,"Použijte pouta k zatčení vraha, poté zavolejte strážníky pomocí telefonu",,,,"11:50 05/09/2022"
"find |notewritername|",,"Najděte |story.notewriter.name| (použijte městský adresář)",,,,"11:50 05/09/2022"
"silentalarm","LOC_IGNORE","Tichý alarm",,,,"11:50 05/09/2022"
"use venilation ducts to escape, or wait for the enforcers to leave.",,"Použijte ventilační šachty k útěku, nebo se schovejte a počkejte, až strážníci odejdou",,,,"11:50 27/10/2022"
"close the case board",,"Zavřete nástěnku případu pomocí |controls.caseboard|",,,,"11:50 05/09/2022"
"look for hairpins or paperclips to pick the lock",,"Hledejte sponky do vlasů nebo kancelářské sponky k vypáčení zámku (|story.lockpicksneeded|)",,,,"11:50 05/09/2022"
"unlock the box",,"Odemkněte krabici interakcí s visacím zámkem",,,,"11:50 05/09/2022"
"pick up the key to your apartment",,"Zvedněte klíč od svého bytu",,,,"11:50 05/09/2022"
"pick up hairpin",,"Zvedněte sponku do vlasů",,,,"11:50 05/09/2022"
"pick up paperclip",,"Zvedněte kancelářskou sponku",,,,"11:50 05/09/2022"
"i'd better come prepared...",,"Raději se připravím...",,,,"11:50 05/09/2022"
"find old detective equipment",,"Najděte staré detektivní vybavení",,,,"11:50 05/09/2022"
"pick up print scanner",,"Zvedněte skener otisků",,,,"11:50 05/09/2022"
"pick up lockpick kit",,"Zvedněte sadu na páčení zámků",,,,"11:50 05/09/2022"
"select the name '|kidnappername|' on the note",,"Vyberte jméno '|story.kidnapper.name|' na poznámce",,,,"11:50 05/09/2022"
"pin |kidnappername| to your case board",,"Připněte |story.kidnapper.name| na svou nástěnku případu pomocí červeného špendlíku",,,,"11:50 05/09/2022"
"open the case board and select the pinned |kidnapperaddress|",,"Otevřete nástěnku případu pomocí |controls.caseboard| a vyberte připnutou |story.kidnapper.home.name|",,,,"11:50 05/10/2022"
"scan for prints",,"Skenujte otisky",,,,"11:50 05/09/2022"
"thought i saw something over here...",,"Myslel jsem, že jsem něco viděl tady...",,,,"11:50 05/09/2022"
"scan for prints 0",,"Skenujte otisky tady a prohlédněte si je...",,,,"11:50 30/01/2023"
"scan for prints 1",,"Skenujte otisky tady a prohlédněte si je...",,,,"11:50 30/01/2023"
"scan for prints 2",,"Skenujte otisky tady a prohlédněte si je...",,,,"11:50 30/01/2023"
"scan for prints 3",,"Skenujte otisky tady a prohlédněte si je...",,,,"11:50 30/01/2023"
"collect hand in",,"Vyzvedněte si formulář pro vyřešení vraždy z radnice",,,,"11:50 30/01/2023"
"view hand in",,"Prohlédněte si cíle svého případu pomocí tlačítka 'Vyřešit' v pravém horním rohu obrazovky nástěnky případu",,,,"11:50 05/09/2022"
"submit case",,"Odevzdejte formulář pro řešení případu na radnici",,,,"11:50 05/09/2022"
"case processing",,"Zpracování případu...",,,,"11:50 05/09/2022"
"restaurant",,"Jděte do |story.restaurant.name|",,,,"11:50 27/10/2022"
"check the table where |story.kidnapper.name| was sitting",,"Zkontrolujte stůl v |story.restaurant.name|, kde seděl |story.kidnapper.name|",,,,"11:50 27/10/2022"
"office",,"Jděte do |story.workplace.name|",,,,"11:50 27/10/2022"
"weapons dealer",,"Zdá se, že |story.weaponsdealer.name| dodává zbraně tomu, kdo zabil |story.kidnapper.firstname|: Najděte ho v městském adresáři",,,,"11:50 27/10/2022"
"search weapons dealer",,"Prohledejte |city.weaponsdealer.home.name| a hledejte stopy, komu |city.weaponsdealer.name| v poslední době prodal zbraně",,,,"11:50 05/09/2022"
"find killer",,"Prozkoumejte |story.associate.name| (použijte městský adresář k jejich nalezení)",,,,"11:50 27/10/2022"
"find proof",,"Prohledejte |story.associate.home.name| a hledejte důkazy spojující |story.associate.name| s případem",,,,"11:50 05/09/2022"
"access cabinet",,"Vstupte do telefonního routeru v |story.kidnapper.home.building|",,,,"11:50 27/10/2022"
"find cabinet",,"Najděte skříň s telefonním routerem v |story.kidnapper.home.building|",,,,"11:50 27/10/2022"
"unlock cabinet",,"Odemkněte nebo vypáčte zámek na dvířkách skříně telefonního routeru",,,,"11:50 27/10/2022"
"trace call",,"Vyberte hovor příchozí nebo odchozí z |story.kidnapper.home.name| k trasování: Naplánujte trasu k druhé budově",,,,"11:50 27/10/2022"
"access other cabinet",,"Vstupte do druhé skříně v |story.routeraddress.building|",,,,"11:50 05/09/2022"
"find other call",,"Najděte další hovor, který odpovídá tomu, co jste našli v |story.kidnapper.home.building|",,,,"11:50 05/09/2022"
"go to other address",,"Jděte na |story.routeraddress.name|",,,,"11:50 05/09/2022"
"search other address",,"Prohledejte |story.routeraddress.name|",,,,"11:50 05/09/2022"
"it's worth checking out the address book...",,"Vyplatí se zkontrolovat adresář (může být užitečné si ho připnout!)",,,,"11:50 27/10/2022"
"access kidnapper cruncher",,"Najděte stůl |story.kidnapper.name| v |story.workplace.name| a přistupte k počítači",,,,"11:50 27/10/2022"
"access notewriter cruncher",,"Najděte stůl |story.notewriter.name| v |story.workplace.name| a přistupte k počítači",,,,"11:50 27/10/2022"
"return to apartment",,"Vraťte se do svého bytu v |story.playersapartment.name|",,,,"11:50 05/09/2022"
"hint: you can pick the lock by looking at the handle",,"Zámek můžete vypáčit pohledem na kliku, nebo najděte jinou cestu dovnitř...",,,,"11:18 01/11/2022"
"disable security by tracing the red wires to the breaker box (optional)",,"Vysledujte červené dráty k jističové skříni v |story.restaurant.name| k deaktivaci zabezpečení (volitelné)",,,,"11:50 05/09/2022"
"disable security systems by using the lever (optional)",,"Otevřete jističovou skříň v |story.restaurant.name| a deaktivujte zabezpečení pomocí páky (volitelné)",,,,"11:50 27/10/2022"
"you may be able to find the passcode on a note somewhere...",,"Heslo možná najdete někde na poznámce...",,,,"11:50 05/09/2022"
"bribe staff for access (optional)",,"Podplaťte personál pro přístup (volitelné)",,,,"11:50 05/09/2022"
"open the 'surveillance' application",,"Otevřete aplikaci 'Sledování'",,,,"11:50 05/09/2022"
"|story.kidnapper.name| is sitting with somebody. open an evidence window by inspecting their mugshot",,"|story.kidnapper.name| sedí s někým. Otevřete okno důkazů prohlížením jejich policejní fotografie",,,,"11:50 05/09/2022"
"find employee record for |story.kidnapper.name| for more info (optional)",,"Najděte záznam zaměstnance pro |story.kidnapper.name| pro více informací (volitelné)",,,,"11:50 05/09/2022"
"open the 'v mail' application",,"Otevřete aplikaci 'V Mail'",,,,"11:50 05/09/2022"
"install sync disk",,"Navštivte Sync Clinic k instalaci Sync Disku",,,,"11:50 05/09/2022"
"playersbirthday",,"Narozeniny |city.player.casualname|",,,,"11:50 04/02/2023"
"partnersbirthday",,"Samovy narozeniny",,,,"11:50 04/02/2023"
"find and talk to |story.slophouseowner.name| about accommodation",,"Najděte a promluvte si s |story.flophouseowner.name| o ubytování (použijte městský adresář)",,,,"11:50 27/10/2022"
